province,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
Beijing,85,117,21,55,1.274,99,125,2171.0,44489.0,22926.0,106732.0,6420.0,6.84,22.94,3922.09,113.7,937.05,4433.0,530.83,13.83,4.42,2.6
Tianjin,87,135,48,54,1.673,83,121,1429.0,28832.0,10640.6,74960.0,2727.0,2.53,7.06,8284.140000000001,45.49,794.36,4615.5,274.14,14.38,4.49,2.78
Hebei,92,162,54,47,1.542,90,133,7323.0,16647.0,25208.9,34507.0,4447.0,7.94,340.04,40272.35,56.08,3314.11,11476.9,930.08,11.28,3.33,2.44
Shanxi,60,115,57,35,1.833,67,93,3528.0,16538.0,12094.7,34248.0,2799.0,4.04,303.5,,50.35,1822.63,6378.0,424.36,10.24,2.95,2.42
Inner_Mongoria,41,107,41,34,1.2,82,85,2449.0,20559.0,12158.2,49585.0,2126.0,5.74,559.25,39253.18000000001,44.53,2416.74,5114.4,342.14,5.32,2.3,3.07
Liaoning,57,97,44,36,1.35,89,90,4358.0,22820.0,20025.7,45915.0,6013.0,12.2,226.47,29821.55,84.0,2038.73,9038.8,520.04,9.69,3.67,2.71
Jilin,59,101,27,38,1.008,88,92,2642.0,17520.0,9966.5,37539.0,2578.0,4.53,108.52,12648.83,22.58,667.81,3804.9,284.57,6.46,2.71,2.44
Heilongjiang,52,82,29,32,0.808,71,79,3608.0,17404.0,12170.8,33464.0,3744.0,7.63,101.08,16901.359999999997,35.48,859.42,4872.4,322.78,3.15,2.36,2.75
Shanghai,52,73,18,44,0.816,99,80,2467.0,45966.0,25269.8,102827.0,5156.0,12.57,0.9,9925.0,72.43,1369.03,8633.3,255.03,17.29,4.6,3.4
Jiangsu,64,99,30,38,1.008,100,96,8281.0,27173.0,64830.5,78711.0,8796.0,26.55,59.21,35855.829999999994,127.7,5012.54,31048.8,1095.45,15.59,3.8,2.61
Zhejiang,55,83,21,39,0.95,96,84,5890.0,32658.0,40023.5,68569.0,6510.0,13.26,39.4,19106.83,78.16,3506.39,19580.7,1012.05,16.7,4.28,3.12
Anhui,69,105,22,28,1.108,55,96,5997.0,16796.0,22519.7,37580.0,4862.0,8.95,157.75,18637.44,34.46,1585.18,10982.6,422.46,15.17,4.07,2.66
Fujian,34,63,11,29,0.775,82,60,3945.0,23331.0,24942.1,63709.0,3366.0,6.04,44.35,12160.170000000002,50.26,1855.79,13165.1,386.6,19.19,4.74,2.59
Jiangxi,48,82,29,29,0.917,74,73,4480.0,16734.0,15667.8,34988.0,2801.0,5.08,131.97,9616.929999999998,15.19,1018.52,8238.7,287.68,18.55,4.74,1.9
Shandong,70,118,47,38,1.192,104,108,9808.0,20864.0,50774.8,51933.0,7415.0,20.52,224.97,55586.11000000001,74.96,4223.49,23588.0,1350.25,13.84,3.69,2.93
Henan,81,127,45,39,1.525,85,117,9645.0,15695.0,34574.8,35982.0,7380.0,8.57,260.0,29226.08,76.87,2919.57,17139.6,969.28,15.84,3.58,2.36
Hubei,85,134,40,41,1.275,82,118,5816.0,18283.0,28242.1,48635.0,5107.0,7.55,243.8,16028.39,40.24,1656.54,13007.9,422.23,16.74,3.31,1.97
Hunan,68,104,28,30,1.258,70,95,6611.0,17622.0,25881.3,39181.0,4725.0,5.73,391.94,13905.909999999998,24.4,1430.88,11825.1,434.48,17.37,3.56,2.3
Guangdong,41,60,18,28,1.083,91,67,11489.0,25685.0,68173.0,59909.0,7693.0,42.19,151.47,25719.33,133.83,5235.23,31930.4,1331.84,22.29,5.0,2.48
Guangxi,53,81,22,26,1.167,90,79,4770.0,15557.0,13587.8,28603.0,2855.0,7.24,143.65,10077.639999999998,8.25,1307.99,5145.6,316.53,21.48,4.65,1.95
Hainan,20,37,4,14,0.642,64,40,936.0,17476.0,3449.0,37166.0,555.0,1.47,8.8,2279.24,46.0,251.88,826.5,75.11,25.08,6.19,2.71
Chongqing,63,95,24,37,1.15,65,93,3043.0,18352.0,14623.8,48311.0,2991.0,5.25,191.0,,82.15,867.24,6774.6,237.04,16.99,3.64,1.95
Sichuan,64,99,26,34,1.083,75,91,8139.0,15749.0,28891.3,35563.0,5706.0,8.21,98.23,15729.34,165.17,2014.79,13082.7,666.92,11.39,2.72,2.03
Guizhou,52,82,26,30,0.75,68,74,3677.0,12371.0,9173.1,25101.0,2763.0,3.57,320.0,,10.62,1173.74,3582.4,244.72,16.21,3.31,1.83
Yunnan,33,61,23,25,1.3,81,58,4653.0,13772.0,14041.7,30217.0,2454.0,3.73,400.36,10756.48,4.63,1529.38,5376.5,429.74,17.42,3.5,2.28
Tibet,24,57,11,19,0.983,102,62,325.0,10730.0,939.7,29275.0,61.0,0.42,82.67,,,33.98,310.3,29.47,4.84,1.52,2.45
Shaanxi,67,128,30,39,1.617,75,104,3827.0,15837.0,17402.5,45610.0,3217.0,3.64,335.36,10763.68,74.26,1226.01,9045.0,384.88,12.94,2.8,2.37
Gansu,45,116,40,32,1.275,91,92,2531.0,12185.0,6518.4,25724.0,2061.0,2.23,214.03,4493.78,25.2,1095.48,2823.3,185.31,8.2,1.8,2.9
Qinghai,59,115,36,32,1.283,62,89,576.0,14374.0,1847.7,32218.0,567.0,0.53,132.04,,40.59,723.21,714.8,68.84,1.74,1.57,2.77
Ningxia,49,112,64,34,1.033,86,89,678.0,15907.0,2473.9,36815.0,540.0,2.32,84.19,17076.420000000002,17.88,848.75,1113.7,91.05,10.63,1.82,2.15
Xinjiang,55,138,19,38,1.275,77,105,2325.0,15097.0,9264.5,40193.0,2263.0,5.7,151.34,,169.87,1900.24,3829.3,272.21,9.12,0.81,2.29
