province,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
Beijing,57,84,8,46,1.009,98,102,2194.0,57230.0,29883.0,136172.0,7967.0,8.35,40.34,2694.95,164.56,1066.89,5049.4,563.1,13.79,4.45,2.72
Tianjin,62,93,16,50,1.366,104,108,1410.0,37022.0,12450.6,87280.0,3503.0,4.43,12.22,7077.13,83.31,805.59,4564.1,287.69,14.6,5.0,2.87
Hebei,64,116,27,47,1.325,106,112,7409.0,21484.0,30640.8,41451.0,5736.0,8.83,481.27,38285.44,96.7,3441.74,12778.0,1387.21,11.29,4.41,2.59
Shanxi,57,105,56,42,1.617,109,108,3510.0,20420.0,14484.3,41242.0,4272.0,6.4,311.97,,74.9,1990.61,6635.3,591.98,10.65,3.52,2.6
Inner_Mongoria,31,68,21,26,0.85,96,73,2433.0,26212.0,14898.1,61196.0,3551.0,6.72,680.45,41559.87,52.04,2891.87,5874.3,480.22,5.42,2.43,3.32
Liaoning,43,74,28,31,1.008,97,82,4312.0,27835.0,21693.0,50221.0,5988.0,12.3,144.22,29984.33,62.05,2135.5,8328.9,727.08,9.72,4.56,2.7
Jilin,40,66,21,28,1.05,89,74,2526.0,21368.0,10922.0,42890.0,3164.0,4.81,153.04,11479.46,24.74,702.98,3995.5,387.15,6.26,3.24,2.72
Heilongjiang,36,59,15,23,0.775,73,63,3399.0,21206.0,12313.0,35887.0,4049.0,6.97,97.59,17457.4,40.56,928.57,3519.5,435.32,3.45,2.64,3.04
Shanghai,38,55,12,44,0.808,112,84,2466.0,58988.0,32925.0,133489.0,6418.0,13.63,2.68,10200.669999999998,83.23,1526.77,9525.9,360.96,18.09,5.44,3.28
Jiangsu,47,78,16,38,0.925,105,87,8423.0,35024.0,85869.8,102202.0,10739.0,28.6,36.57,36817.8,237.69,5807.89,39124.1,1612.82,16.31,4.92,2.5
Zhejiang,36,58,10,31,0.767,89,69,6170.0,42046.0,52403.1,85612.0,6850.0,15.92,44.05,19857.930000000004,104.93,4192.63,23246.7,1395.8,18.3,3.76,3.29
Anhui,56,87,17,38,0.942,100,92,6057.0,21863.0,29676.2,49092.0,4515.0,10.24,144.93,19129.710000000003,44.37,1921.48,12681.2,708.93,15.48,4.37,2.88
Fujian,27,47,10,26,0.792,90,58,4065.0,30048.0,33842.4,83758.0,4418.0,6.98,233.59,11540.23,50.16,2112.72,16290.0,557.01,19.68,4.2,2.69
Jiangxi,46,72,23,26,0.992,86,74,4511.0,22031.0,20210.8,44878.0,2954.0,6.37,282.41,10236.47,21.73,1293.98,9444.6,465.9,18.73,4.61,1.96
Shandong,50,94,21,33,1.025,108,94,10033.0,26930.0,63012.1,62993.0,10084.0,23.57,142.2,60207.85999999999,131.06,5430.16,26925.6,1929.55,14.09,4.2,2.99
Henan,56,96,22,41,1.242,103,93,9829.0,20170.0,44824.9,45723.0,6290.0,10.12,180.93,27270.37,104.07,3166.17,20940.3,1274.45,16.31,4.18,2.41
Hubei,52,79,13,32,1.175,89,84,5904.0,23757.0,37235.0,63169.0,7346.0,8.67,400.84,16113.4,49.96,1869.0,15713.9,679.81,17.11,4.1,2.06
Hunan,46,73,15,27,1.117,85,76,6633.0,23103.0,33828.1,51030.0,6188.0,6.77,554.14,15554.79,26.98,1581.51,13459.8,683.19,17.37,4.12,2.64
Guangdong,33,51,11,29,0.925,91,64,12141.0,33003.0,91648.7,76218.0,11892.0,45.58,270.59,27169.15,182.38,5958.97,38536.6,1894.22,22.64,5.1,2.48
Guangxi,39,59,14,23,0.992,80,62,4907.0,19905.0,17790.7,36441.0,2806.0,8.88,176.08,10396.420000000002,14.03,1444.95,6138.3,502.13,21.66,4.54,2.12
Hainan,18,32,4,12,0.65,73,41,972.0,22553.0,4497.5,46631.0,919.0,1.53,12.88,2436.8399999999992,43.45,304.95,996.4,113.21,25.16,4.91,2.6
Chongqing,45,72,12,46,1.007,73,80,3144.0,24153.0,20066.3,64171.0,3235.0,6.16,228.05,,95.24,996.55,8455.0,370.47,17.45,3.86,2.0
Sichuan,42,67,14,31,0.908,86,75,8289.0,20580.0,37905.1,45835.0,6886.0,10.75,658.37,12716.38,198.91,2205.18,14569.2,990.3,11.61,2.87,1.97
Guizhou,29,52,15,22,0.85,70,54,3803.0,16704.0,13605.4,35988.0,2584.0,4.74,678.3,,17.73,1384.89,4970.9,414.01,16.54,2.82,1.79
Yunnan,24,44,12,19,0.85,80,50,4693.0,18348.0,18486.0,39458.0,3109.0,4.52,387.16,9631.19,9.69,1538.1,6317.8,622.66,17.26,3.38,2.09
Tibet,18,46,9,16,0.742,90,58,349.0,15457.0,1349.0,39158.0,210.0,0.52,82.67,,,58.19,469.6,40.88,5.4,1.88,2.28
Shaanxi,53,94,19,42,1.3,94,97,3904.0,20635.0,21473.5,55216.0,4502.0,6.92,334.79,9764.67,103.9,1494.75,10114.1,549.51,13.23,3.79,2.33
Gansu,30,70,21,29,0.858,97,84,2522.0,16011.0,7336.7,29103.0,2801.0,2.69,325.43,4232.09,28.91,1164.37,2515.8,287.45,8.59,2.26,2.88
Qinghai,28,59,20,23,1.033,98,71,586.0,19001.0,2465.1,42211.0,526.0,0.64,198.81,11642.28,49.56,687.01,975.7,99.57,2.1,1.79,2.6
Ningxia,36,81,34,32,0.975,100,91,705.0,20562.0,3200.3,45718.0,819.0,2.64,78.24,21731.52,22.27,978.3,1406.0,130.94,10.95,2.71,2.0
