province,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
Beijing,31,51,3,26,0.59,87,78,2189.0,75002.0,40269.6,183980.0,,,,,,1233.0,7268.6,,13.39,0.68,2.54
Tianjin,38,66,9,37,0.844,93,85,1373.0,47449.0,15695.0,113732.0,,,,,,982.0,5854.3,,14.05,5.78,2.68
Hebei,37,66,10,31,0.717,98,86,7448.0,29383.0,40391.3,54172.0,,,,,,4294.0,16364.2,,10.38,1.67,2.34
Shanxi,37,68,15,31,0.85,101,91,3480.0,27426.0,22590.2,64821.0,,,,,,2608.0,11213.1,,10.41,1.93,2.69
Inner_Mongoria,22,48,11,20,0.55,91,70,2400.0,34108.0,20514.2,85422.0,,,,,,3957.0,9374.2,,5.13,1.25,3.29
Liaoning,34,57,14,26,0.825,83,66,4229.0,35112.0,27584.1,65026.0,,,,,,2576.0,10875.2,,9.87,2.69,2.49
Jilin,26,47,11,21,0.658,81,56,2375.0,27770.0,13235.5,55450.0,,,,,,843.0,4768.3,,6.84,1.85,2.52
Heilongjiang,26,43,10,19,0.55,76,53,3125.0,27159.0,14879.2,47266.0,,,,,,1089.0,3975.3,,3.52,1.46,2.88
Shanghai,27,43,6,35,0.619,91,64,2489.0,78027.0,43214.9,173630.0,,,,,,1750.0,11449.3,,18.5,4.49,3.16
Jiangsu,31,54,7,29,0.675,101,73,8505.0,47498.0,116364.2,137039.0,,,,,,7101.0,51775.4,,16.56,1.66,2.54
Zhejiang,24,47,6,29,0.583,86,59,6540.0,57541.0,73515.8,113032.0,,,,,,5514.0,31188.6,,19.35,2.77,3.12
Anhui,34,59,8,26,0.633,96,73,6113.0,30904.0,42959.2,70321.0,,,,,,2715.0,17613.2,,16.09,2.95,2.8
Fujian,22,38,6,19,0.55,88,51,4187.0,40659.0,48810.4,116939.0,,,,,,2837.0,22866.3,,20.14,3.0,2.55
Jiangxi,29,51,12,22,0.758,83,57,4517.0,30610.0,29619.7,65560.0,,,,,,1863.0,13183.2,,19.43,2.45,2.02
Shandong,32,61,9,25,0.633,95,76,10170.0,35705.0,83095.9,81727.0,,,,,,7383.0,33187.2,,14.12,2.1,2.99
Henan,44,71,9,27,0.783,101,93,9883.0,26811.0,58887.4,59410.0,,,,,,3647.0,24331.6,,16.62,2.4,2.39
Hubei,35,57,8,24,0.8,90,69,5830.0,30829.0,50012.9,86416.0,,,,,,2472.0,18952.9,,17.49,2.33,1.98
Hunan,34,49,8,21,0.767,82,62,6622.0,31993.0,46063.1,69440.0,,,,,,2155.0,18126.1,,18.04,2.73,2.45
Guangdong,22,40,8,22,0.65,95,56,12684.0,44993.0,124369.7,98285.0,,,,,,7867.0,50219.2,,23.32,2.94,2.56
Guangxi,28,47,10,19,0.75,83,54,5037.0,26727.0,24740.9,49206.0,,,,,,2236.0,8187.9,,22.05,2.47,2.4
Hainan,14,27,5,10,0.458,73,38,1020.0,30457.0,6475.2,63707.0,,,,,,405.0,1238.8,,25.0,5.11,2.57
Chongqing,35,54,9,32,0.708,70,62,3212.0,33803.0,27894.0,86879.0,,,,,,1341.0,11184.9,,17.68,2.37,2.02
Sichuan,31,49,8,24,0.667,82,62,8372.0,29080.0,53850.8,64326.0,,,,,,3275.0,19901.4,,11.75,2.04,2.05
Guizhou,23,35,8,15,0.608,74,46,3852.0,23996.0,19586.4,50808.0,,,,,,1743.0,6984.7,,16.72,1.93,1.71
Yunnan,22,34,8,14,0.642,82,46,4690.0,25666.0,27146.8,57686.0,,,,,,2138.0,9589.4,,17.5,2.17,2.11
Tibet,10,20,7,11,0.558,93,49,366.0,24950.0,2080.2,56831.0,,,,,,101.0,757.3,,5.62,1.25,2.25
Shaanxi,34,60,9,30,0.692,88,79,3954.0,28568.0,29801.0,75360.0,,,,,,1966.0,13802.5,,13.46,2.78,2.31
Gansu,20,48,12,24,0.608,93,74,2490.0,22066.0,10243.3,41046.0,,,,,,1495.0,3466.6,,8.39,1.09,2.85
Qinghai,20,38,14,20,0.675,94,62,594.0,25920.0,3346.6,56398.0,,,,,,858.0,1332.6,,3.47,0.91,2.44
Ningxia,24,57,13,25,0.633,99,86,725.0,27905.0,4522.3,62549.0,,,,,,1158.0,2021.6,,11.52,0.68,1.96
Xinjiang,33,75,8,26,0.725,89,97,2589.0,26075.0,15983.6,61725.0,,,,,,3527.0,5967.4,,9.95,0.58,2.35
