province,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
Beijing,47,73,6,39,0.769,94,87,2192.0,62361.0,33106.0,150962.0,8121.0,8.53,29.98,2552.93,187.88,1142.38,5477.4,574.04,13.33,4.97,2.71
Tianjin,49,77,11,43,0.991,100,92,1383.0,39506.0,13362.9,95689.0,3458.0,4.65,8.65,7143.97,104.03,855.14,4835.3,298.65,14.28,5.59,2.9
Hebei,52,97,19,39,1.05,100,94,7426.0,23446.0,32494.6,43808.0,6427.0,9.14,600.96,41720.61,133.07,3665.66,12904.1,1529.98,11.05,4.34,2.59
Shanxi,47,91,30,36,1.208,100,87,3502.0,21990.0,15958.1,45517.0,4445.0,4.82,340.15,,75.21,2160.53,7074.5,652.15,10.59,3.24,2.69
Inner_Mongoria,23,52,16,21,0.642,90,58,2422.0,28376.0,16140.8,66491.0,3794.0,6.72,599.98,47458.78999999999,61.97,3353.44,6335.4,531.91,5.32,3.19,3.36
Liaoning,37,64,21,27,0.883,88,69,4291.0,29701.0,23510.5,54657.0,5724.0,12.23,167.98,31552.68,73.16,2302.38,9049.0,796.37,9.39,3.88,2.71
Jilin,30,54,13,22,0.758,80,59,2484.0,22798.0,11253.8,44925.0,2881.0,6.93,122.66,10709.47,29.71,750.57,4051.5,421.92,6.46,3.43,2.66
Heilongjiang,28,51,11,20,0.575,72,54,3327.0,22726.0,12846.5,38199.0,4155.0,7.07,96.64,16104.55,43.84,973.88,3536.0,477.41,3.6,3.31,3.0
Shanghai,34,48,9,39,0.613,96,70,2475.0,64183.0,36011.8,145767.0,5989.0,13.94,3.18,9644.38,93.49,1566.66,10360.8,393.37,18.07,4.77,3.38
Jiangsu,44,71,12,35,0.825,102,82,8446.0,38096.0,93207.6,110508.0,9281.0,29.38,43.36,35842.71000000001,276.21,6128.27,42129.4,1776.57,16.55,4.86,2.56
Zhejiang,32,54,8,29,0.717,86,64,6273.0,45840.0,58002.8,93230.0,7005.0,16.74,63.64,19364.910000000003,134.91,4532.82,25308.1,1532.95,18.24,3.23,3.35
Anhui,46,71,11,32,0.742,96,79,6076.0,23984.0,34010.9,56063.0,5867.0,10.75,138.49,19823.28,53.01,2135.07,14094.4,814.2,16.02,4.55,2.86
Fujian,24,42,8,22,0.667,86,53,4104.0,32644.0,38687.8,94719.0,3965.0,7.21,193.39,12813.07,51.92,2313.82,18847.8,622.82,19.61,4.17,2.6
Jiangxi,35,59,16,22,0.883,81,63,4513.0,24080.0,22716.5,50347.0,3490.0,6.97,308.14,10556.28,25.93,1428.77,10081.2,537.55,18.72,4.25,1.98
Shandong,42,82,14,30,0.85,104,84,10077.0,29205.0,66648.9,66284.0,9700.0,24.34,147.48,63324.97,156.33,6083.87,27523.7,2128.29,13.86,4.6,3.09
Henan,54,91,15,36,1.025,103,93,9864.0,21964.0,49935.9,50714.0,6766.0,10.71,173.6,26454.09,106.31,3417.68,22038.6,1449.68,16.24,4.16,2.49
