province,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
Beijing,80,101,13,49,1.302,99,122,2188.0,48458.0,24779.1,113692.0,134106.0,8.13,20.33,3351.55,146.88,953.0,4419.8,533.81,13.25,2.37,2.61
Tianjin,70,120,29,41,1.368,77,103,1439.0,31291.0,10879.5,75868.0,53240.0,2.84,8.03,7837.3200000000015,63.98,801.0,4489.6,273.62,13.91,3.48,2.8
Hebei,77,136,41,46,1.467,90,115,7345.0,18118.0,26398.4,35994.0,108825.0,8.13,366.52,39620.87,72.97,3176.0,11519.5,1075.03,10.73,3.28,2.57
Shanxi,56,99,60,33,1.8,79,89,3519.0,17854.0,11836.4,33593.0,73661.0,4.2,285.94,,64.92,1737.0,5219.7,468.97,10.31,2.47,2.66
Inner_Mongoria,41,87,28,25,0.842,87,77,2440.0,22310.0,12949.0,52972.0,59527.0,6.31,704.05,39240.26,39.15,2543.0,5269.5,373.61,4.96,2.05,3.15
Liaoning,55,90,40,33,1.25,86,90,4338.0,24576.0,20210.3,46482.0,110524.0,12.42,215.28,29156.980000000003,55.35,1985.0,8344.6,582.5,10.86,3.44,2.43
Jilin,54,86,26,30,0.95,85,86,2613.0,18684.0,10018.0,38128.0,53934.0,4.73,199.85,11856.46,21.34,652.0,3837.8,313.74,6.32,2.63,2.5
Heilongjiang,39,66,21,23,0.783,72,66,3529.0,18593.0,11690.0,32759.0,76013.0,7.65,134.97,16777.67,35.82,869.0,3926.9,351.75,3.57,2.46,2.87
Shanghai,54,73,17,46,0.857,105,88,2458.0,49867.0,26887.0,109186.0,102157.0,12.73,3.24,10106.23,77.41,1406.0,8408.7,282.23,17.39,4.93,3.18
Jiangsu,57,92,24,36,1.017,99,92,8315.0,29539.0,71255.9,85871.0,190987.0,27.41,45.22,36672.78,165.02,5115.0,33371.8,1240.91,15.56,5.2,2.48
Zhejiang,48,74,16,37,0.867,94,80,5985.0,35537.0,43507.7,73276.0,118847.0,13.8,71.6,19262.7,80.35,3554.0,20606.6,1120.58,15.9,3.89,3.11
Anhui,55,82,22,30,0.967,70,80,6011.0,18363.0,23831.2,39692.0,103688.0,9.38,236.94,18622.459999999995,34.83,1640.0,10838.3,498.7,14.92,4.57,2.9
Fujian,29,50,11,24,0.85,73,51,3984.0,25404.0,26819.5,67649.0,70991.0,6.45,253.82,11647.45,45.38,1852.0,13735.7,435.37,19.46,4.56,2.67
Jiangxi,43,68,28,23,0.967,72,65,4485.0,18437.0,16780.9,37436.0,68863.0,5.41,233.69,9987.120000000004,18.02,1087.0,8367.7,338.94,18.48,4.94,1.96
Shandong,65,112,37,35,1.192,98,102,9866.0,22703.0,55288.8,56205.0,179857.0,21.35,221.21,58644.30000000001,82.32,5117.0,24814.9,1510.81,13.57,3.7,2.98
Henan,80,135,37,41,1.425,90,115,9701.0,17125.0,37084.1,38338.0,118304.0,9.0,216.82,29061.47,78.77,2880.0,17947.9,952.01,15.6,3.62,2.37
Hubei,65,100,20,30,1.242,89,96,5850.0,20026.0,30344.0,52021.0,126939.0,8.03,288.12,15872.490000000002,40.26,1665.0,13569.5,498.63,16.79,3.48,1.95
Hunan,52,83,23,26,1.117,80,78,6615.0,19317.0,28538.6,43155.0,116158.0,5.94,559.83,14511.57,26.51,1448.0,12665.7,507.88,17.35,3.75,2.48
Guangdong,34,52,13,26,0.95,85,59,11678.0,27859.0,74732.4,64516.0,186951.0,43.84,401.33,25525.390000000003,145.16,5311.0,33913.8,1471.4,22.91,6.1,2.5
Guangxi,40,61,17,20,1.067,77,63,4811.0,16873.0,14797.8,30890.0,62166.0,8.24,197.58,9420.29,8.37,1334.0,5391.0,363.82,21.91,5.12,1.99
Hainan,19,36,4,13,0.65,72,41,945.0,18979.0,3734.2,39704.0,14006.0,1.49,23.39,,46.0,272.0,882.9,83.29,25.62,6.31,2.8
Chongqing,55,85,16,44,1.114,66,80,3070.0,20110.0,16040.5,52480.0,55464.0,5.59,246.7,,88.37,875.0,7208.0,278.61,17.85,3.47,2.0
Sichuan,47,77,17,28,0.942,79,76,8196.0,17221.0,30342.0,37150.0,131966.0,8.71,408.94,14255.39,170.98,1992.0,13192.5,767.13,11.6,2.86,1.95
Guizhou,32,54,21,22,0.767,71,55,3708.0,13697.0,10541.0,28547.0,42372.0,3.67,483.25,13923.8,13.32,1174.0,4026.7,292.61,16.67,2.93,1.86
Yunnan,28,46,16,16,0.808,77,51,4663.0,15223.0,14960.0,32117.0,64678.0,3.94,582.53,9580.930000000002,6.34,1439.0,5491.7,484.23,17.35,3.63,2.21
Tibet,32,70,19,17,1.267,82,66,330.0,12254.0,1043.0,31847.0,3265.0,0.53,82.79,,,41.0,341.8,33.18,4.84,1.92,2.35
