province,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
Beijing,73,97,10,48,1.16,96,113,2195.0,52530.0,27041.2,123391.0,7729.0,8.21,19.06,2910.8,162.31,1020.27,4665.8,547.44,13.45,4.8,2.72
Tianjin,69,108,21,48,1.373,85,104,1443.0,34074.0,11477.2,79647.0,3176.0,3.34,9.29,7323.24,74.53,807.93,4368.0,273.69,14.17,4.33,2.88
Hebei,70,123,34,49,1.433,95,110,7375.0,19725.0,28474.1,38688.0,5966.0,8.54,583.36,39368.67999999999,70.45,3264.52,12332.3,1245.89,10.88,4.66,2.66
Shanxi,60,109,66,36,1.733,86,95,3514.0,19049.0,11946.4,33972.0,3941.0,4.3,266.69,,69.35,1797.18,5113.6,526.39,10.4,3.62,2.69
Inner_Mongoria,35,76,23,25,0.817,92,72,2436.0,24127.0,13789.3,56560.0,3640.0,6.56,618.48,39548.36,45.06,2605.03,5579.8,418.53,4.55,2.39,3.31
Liaoning,46,80,34,31,1.15,94,82,4327.0,26040.0,20392.5,47069.0,6331.0,11.66,142.44,29132.750000000004,50.63,2037.4,7865.7,659.41,9.42,4.21,2.72
Jilin,42,71,22,28,0.975,88,75,2567.0,19967.0,10427.0,40259.0,3093.0,4.66,157.91,11526.6,21.51,667.63,3901.4,352.93,6.05,3.43,2.61
Heilongjiang,33,57,18,23,0.792,67,59,3463.0,19838.0,11895.0,34025.0,4159.0,7.7,93.0,17248.45,38.04,896.62,3689.7,394.19,2.7,2.6,2.96
Shanghai,45,64,15,43,0.789,103,81,2467.0,54305.0,29887.0,121369.0,5791.0,12.88,3.94,10064.13,79.04,1486.02,8570.2,322.87,17.98,4.97,3.26
Jiangsu,50,82,20,35,0.95,98,85,8381.0,32070.0,77350.9,92658.0,10458.0,28.19,30.63,38056.17999999999,172.73,5458.95,35041.5,1427.91,15.78,4.86,2.55
Zhejiang,39,64,15,32,0.792,86,70,6072.0,38529.0,47254.0,78384.0,6705.0,15.43,55.65,19132.83,87.78,3873.19,21571.3,1257.35,18.34,3.64,3.29
Anhui,53,79,21,37,0.925,86,83,6033.0,19998.0,26307.7,43686.0,4515.0,9.86,128.04,18602.279999999995,39.18,1794.98,11517.5,600.81,15.38,4.94,2.94
Fujian,28,49,10,26,0.817,73,52,4016.0,27608.0,29609.4,74024.0,3421.0,6.72,228.68,10751.27,48.55,1968.58,14683.7,493.64,19.58,5.08,2.7
Jiangxi,45,73,25,24,1.033,81,71,4496.0,20110.0,18388.6,40950.0,3177.0,5.68,289.56,10042.03,20.04,1182.5,8732.5,399.29,18.74,5.35,1.95
Shandong,58,104,29,34,1.083,102,97,9973.0,24685.0,58762.5,59239.0,9499.0,22.58,146.68,61595.76,98.61,5390.75,25565.0,1723.34,13.86,4.4,3.04
Henan,73,129,31,41,1.467,99,113,9778.0,18443.0,40249.3,41326.0,5870.0,9.54,149.0,28630.67,92.75,2989.15,18986.9,1104.47,16.18,4.34,2.38
Hubei,55,88,15,30,1.125,89,86,5885.0,21787.0,33353.0,56844.0,6406.0,8.22,245.71,15860.6,41.5,1763.11,14527.0,588.69,17.13,4.28,2.14
Hunan,48,78,19,26,1.05,84,75,6625.0,21115.0,30853.5,46606.0,6184.0,6.15,503.24,14683.85,28.32,1495.65,12942.0,595.8,17.35,4.08,2.76
Guangdong,32,50,12,27,0.908,84,58,11908.0,30296.0,82163.2,69671.0,11779.0,45.27,305.4,25889.86,167.79,5610.13,35499.2,1674.64,22.47,6.24,2.53
Guangxi,37,57,16,21,0.925,79,59,4857.0,18305.0,16116.6,33340.0,2954.0,8.45,193.34,9969.670000000002,12.89,1359.65,5621.0,424.9,21.83,4.84,2.15
Hainan,17,34,4,14,0.633,72,40,957.0,20653.0,4090.2,43009.0,685.0,1.53,14.52,,41.29,287.31,904.0,96.32,25.13,5.88,2.72
Chongqing,54,78,13,46,0.962,70,81,3110.0,22034.0,18023.0,58327.0,3038.0,5.98,226.33,,89.32,924.89,7765.4,327.47,17.82,3.71,2.01
Sichuan,46,76,17,30,0.925,82,76,8251.0,18808.0,33138.5,40297.0,5869.0,10.06,568.53,13613.87,181.57,2101.02,13450.1,880.8,11.68,2.82,2.0
Guizhou,32,55,17,23,0.792,72,56,3758.0,15121.0,11792.4,31589.0,1905.0,4.08,478.7,14769.8,17.11,1241.78,4468.7,348.7,16.61,3.15,1.85
Yunnan,26,45,14,17,0.8,76,49,4677.0,16720.0,16369.0,35051.0,3210.0,4.31,496.45,9418.930000000002,7.71,1410.52,5747.4,552.05,17.25,3.41,2.17
Tibet,34,76,17,21,0.858,67,70,340.0,13639.0,1173.0,35015.0,132.0,0.62,55.28,,,49.22,390.4,37.48,5.53,1.94,2.32
Shaanxi,56,105,20,39,1.292,94,97,3874.0,18874.0,19045.8,49341.0,3822.0,5.87,297.64,9751.16,98.22,1357.06,8906.5,491.23,13.44,3.35,2.46
Gansu,39,92,26,30,1.008,94,80,2520.0,14670.0,6907.9,27396.0,2191.0,2.63,325.58,4396.06,26.4,1065.15,2483.5,277.25,8.83,2.06,2.94
Qinghai,36,82,21,22,0.933,88,74,582.0,17302.0,2258.2,38968.0,444.0,0.62,178.41,9228.010000000002,46.25,637.51,867.7,88.65,2.38,1.83,2.73
Ningxia,46,104,41,28,0.883,92,90,695.0,18832.0,2781.4,40339.0,801.0,2.51,91.53,20247.15,22.4,886.91,1179.7,115.34,10.84,2.41,2.13
Xinjiang,62,146,15,29,1.275,80,109,2428.0,18355.0,9630.8,40020.0,2483.0,6.48,263.9,,132.38,2316.46,3446.1,327.06,10.06,1.4,2.35
