数据库：分省年度数据
指标：有效灌溉面积(千公顷)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,109.35,109.24,109.67,115.48,128.47,137.35,143.11,153.02,207.54,209.33,211.42,218.71,241.66,173.57,181.54,181.47,186.67,178.90,316.73
天津市,299.12,304.80,304.66,306.62,306.62,308.87,308.87,308.87,337.04,338.00,344.61,347.38,348.06,349.30,352.25,355.20,353.39,354.09,354.38
河北省,4470.03,4482.16,4492.33,4474.67,4457.64,4447.98,4404.22,4349.03,4603.07,4596.61,4548.01,4552.95,4559.24,4579.02,4569.78,4547.75,4459.76,4403.99,4415.16
山西省,1517.38,1519.34,1518.68,1511.21,1487.29,1460.28,1408.17,1382.79,1319.06,1319.85,1274.15,1260.99,1254.56,1255.69,1172.14,1088.59,1088.15,1095.25,1103.70
内蒙古自治区,3199.12,3199.19,3196.52,3174.83,3131.53,3086.90,3011.88,2957.76,3125.24,3072.39,3027.50,2949.75,2871.26,2816.62,2759.41,2702.19,2635.94,2568.54,2537.59
辽宁省,1632.54,1629.18,1619.33,1610.55,1572.99,1520.31,1473.97,1407.84,1698.82,1588.38,1537.54,1509.58,1492.93,1490.52,1527.10,1527.08,1520.06,1512.83,1494.77
吉林省,1905.44,1909.50,1893.05,1893.05,1832.17,1790.87,1628.43,1510.13,1851.87,1807.52,1726.80,1684.80,1654.11,1640.57,1636.39,1613.74,1595.19,1545.52,1499.18
黑龙江省,6171.61,6177.59,6119.57,6030.97,5932.74,5530.84,5305.20,5342.12,4776.48,4332.65,3875.22,3405.86,3122.51,2950.26,2648.20,2394.07,2282.11,2111.53,2185.27
上海市,165.05,190.76,190.76,190.76,189.81,188.21,184.09,184.09,199.02,199.61,201.00,202.32,234.46,206.05,208.00,237.34,245.74,257.31,270.38
江苏省,4224.73,4205.44,4179.83,4131.88,4054.07,3952.50,3890.53,3785.27,3929.72,3817.92,3819.74,3813.66,3817.10,3835.15,3837.72,3817.67,3839.02,3840.98,3886.04
浙江省,1415.70,1405.43,1440.80,1444.70,1446.31,1432.15,1425.37,1409.39,1471.02,1456.80,1450.98,1446.37,1435.85,1431.35,1422.32,1417.71,1406.86,1403.80,1406.04
安徽省,4608.83,4580.84,4538.29,4504.14,4437.46,4400.34,4331.69,4305.53,3585.09,3547.65,3519.78,3484.08,3453.73,3403.23,3346.25,3330.88,3304.58,3285.38,3263.82
福建省,1110.42,1076.78,1085.18,1064.84,1055.37,1061.65,1116.12,1122.42,968.51,967.48,967.51,960.12,955.45,952.90,951.31,949.71,941.45,939.95,938.80
江西省,2038.49,2036.14,2032.02,2039.42,2036.83,2027.67,2001.57,1995.60,1907.06,1867.67,1852.39,1840.43,1841.17,1839.93,1836.42,1831.42,1841.59,1873.16,1894.17
山东省,5293.56,5271.37,5235.99,5191.06,5161.16,4964.43,4901.95,4729.03,5058.11,4986.88,4955.30,4896.92,4857.48,4836.78,4818.16,4789.96,4766.81,4760.79,4797.44
河南省,5463.07,5328.95,5288.69,5273.63,5242.92,5210.64,5101.15,4969.11,5205.63,5150.44,5080.96,5033.03,4989.20,4955.84,4918.80,4864.12,4829.08,4792.22,4802.36
湖北省,3086.04,2968.99,2931.90,2919.17,2905.57,2899.15,2855.32,2791.41,2548.91,2455.69,2379.78,2350.10,2330.17,2095.43,2056.63,2064.59,2071.00,2043.69,2006.49
湖南省,3192.90,3176.11,3164.00,3145.87,3132.37,3113.32,3101.70,3084.30,2715.78,2762.41,2739.00,2720.68,2708.97,2696.65,2696.65,2690.41,2683.28,2675.34,2675.61
广东省,1776.46,1773.40,1775.21,1774.61,1771.71,1771.26,1770.99,1770.76,1874.44,1873.16,1872.46,1871.09,1863.45,1312.04,1314.93,1317.82,1312.56,1315.93,1424.96
广西壮族自治区,1731.03,1713.08,1706.88,1669.87,1646.07,1618.79,1600.00,1586.37,1541.29,1529.24,1523.05,1522.14,1521.45,1522.27,1519.19,1519.82,1515.99,1516.67,1518.46
海南省,292.21,290.63,290.48,289.25,289.95,263.99,259.92,260.93,256.75,247.51,243.79,243.17,246.11,169.92,169.09,168.27,169.82,177.27,187.96
重庆市,698.32,697.68,696.94,694.26,690.60,687.19,677.26,675.18,702.97,692.88,685.25,672.02,658.86,633.67,621.32,618.09,616.79,649.69,641.16
四川省,2992.24,2954.09,2932.54,2873.10,2813.55,2735.09,2666.32,2616.54,2662.65,2600.75,2553.11,2523.66,2506.69,2499.80,2486.99,2508.25,2503.25,2503.15,2500.60
贵州省,1165.49,1153.99,1132.24,1114.12,1088.07,1065.43,981.83,926.90,1214.57,1201.19,1131.72,1016.04,917.43,779.66,738.31,711.64,692.86,682.71,671.53
云南省,1978.07,1922.49,1898.07,1851.42,1809.39,1757.71,1708.97,1660.27,1677.90,1634.24,1588.42,1562.07,1536.87,1517.10,1501.25,1485.40,1469.40,1457.00,1442.10
西藏自治区,282.82,275.94,264.53,261.23,251.53,247.80,244.03,239.27,251.04,245.31,237.03,235.15,220.66,156.37,159.48,162.59,153.68,156.32,159.74
陕西省,1336.81,1285.16,1274.99,1263.09,1251.39,1236.77,1226.49,1209.94,1277.18,1274.34,1284.87,1293.34,1301.44,1287.43,1312.21,1298.84,1296.84,1271.86,1314.73
甘肃省,1338.60,1328.86,1337.54,1331.43,1317.51,1306.72,1297.06,1284.08,1297.58,1291.82,1278.45,1264.17,1254.73,1063.04,1050.24,1030.43,1003.33,994.44,988.27
青海省,219.25,213.33,214.04,206.61,202.35,196.99,182.49,186.90,251.67,251.67,251.67,251.67,251.65,176.59,176.32,176.50,180.30,181.73,193.50
宁夏回族自治区,552.53,538.29,523.45,511.45,515.15,506.53,498.91,498.56,491.35,477.59,464.60,453.55,451.94,426.20,427.28,423.53,406.28,413.19,410.01
新疆维吾尔自治区,4893.35,4959.89,4883.46,4952.29,4982.03,4944.92,4831.89,4769.89,4029.07,3884.57,3721.60,3675.68,3572.49,3465.40,3334.83,3204.26,3106.64,3051.00,3053.90
数据来源：国家统计局
