数据库：分省年度数据
指标：道路清扫保洁面积(万平方米)
时间：最近10年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,16775,15602,14443,14861,14678,15122,15104,14234,14346
天津市,13287,13296,12180,13529,13124,11769,10879,10098,8723
河北省,40082,37034,34756,30452,29921,26358,24549,24614,23128
山西省,22495,21652,19488,16581,16659,16083,15527,14659,12637
内蒙古自治区,26007,24983,21516,22901,21383,19799,18207,17171,12755
辽宁省,47435,42017,44927,39255,38296,36637,33721,35713,33403
吉林省,18410,18155,17910,17741,18880,16957,14504,13831,13287
黑龙江省,27643,26586,25695,25996,24843,23484,22716,20283,18320
上海市,18699,21190,20855,18852,18253,17366,17490,17385,17294
江苏省,69489,71066,63905,67319,62827,57992,55132,52029,48098
浙江省,53870,47186,46411,49663,43224,39195,36843,34699,30973
安徽省,42841,39629,37349,32514,30833,29216,26370,24081,22229
福建省,21399,20504,19589,17554,16336,14881,16243,15585,12696
江西省,25992,22228,21514,20042,17380,14019,12893,11721,11964
山东省,77847,76154,76721,74631,72533,68631,65422,82996,56109
河南省,44651,42347,39207,36166,32248,29490,27197,25540,23569
湖北省,45008,37230,34970,32460,28609,33304,30527,23456,21086
湖南省,29576,27955,31280,27762,25742,19979,18032,17296,16216
广东省,120331,118646,112966,107035,101629,92161,84873,75126,71791
广西壮族自治区,27715,25962,23202,21686,19713,18189,14065,12927,11601
海南省,9962,8331,7371,10794,7711,5289,6084,6535,6384
重庆市,22755,20955,19251,18249,17850,15313,12304,10989,10311
四川省,45041,43381,38499,37804,36723,30196,28574,21020,19318
贵州省,16721,15196,14799,13425,9773,7098,5129,5300,4910
云南省,19041,19220,14102,17237,18986,16769,15547,13713,15643
西藏自治区,2140,1949,1739,976,5811,5714,2413,1739,678
陕西省,20880,19163,15521,19232,15388,15884,15338,14515,12267
甘肃省,13580,12566,11756,10368,9556,8294,7478,7298,6235
青海省,4015,3458,3085,3017,2944,2699,2529,2430,2070
宁夏回族自治区,9376,9095,8438,8920,8048,7956,7482,6716,5021
新疆维吾尔自治区,22533,19390,15883,15026,15022,14489,12921,12315,10445
数据来源：国家统计局
