数据库：分省年度数据
指标：森林火灾次数(次)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,9,8,1,3,4,,1,1,1,3,3,4,3,6,13,11,11
天津市,,,1,2,1,1,2,4,11,5,10,6,13,18,46,16,9
河北省,11,41,25,38,42,74,93,52,83,108,34,63,27,104,210,251,149
山西省,17,34,12,6,10,10,10,32,20,40,17,37,19,45,67,63,20
内蒙古自治区,91,230,105,177,78,123,160,78,57,57,88,66,138,154,143,173,134
辽宁省,11,63,40,80,97,116,105,25,51,54,58,176,228,137,274,230,202
吉林省,19,46,83,90,66,125,71,11,41,58,19,131,151,72,24,37,95
黑龙江省,50,10,44,97,29,94,33,14,49,43,30,54,84,100,87,103,106
江苏省,2,7,16,11,15,8,31,33,30,54,53,50,61,47,35,172,165
浙江省,21,30,45,70,83,67,155,206,139,433,97,247,425,272,330,718,1125
安徽省,8,43,42,127,42,22,140,67,81,250,184,100,213,159,119,325,349
福建省,55,26,89,52,29,114,130,132,92,407,131,579,520,237,158,309,1164
江西省,57,60,58,67,43,40,158,82,46,151,79,394,572,326,130,355,1119
山东省,13,6,20,19,13,10,25,19,8,32,22,17,47,32,66,90,45
河南省,16,156,41,81,191,45,265,693,328,622,519,596,983,816,960,982,388
湖北省,45,200,153,466,213,70,235,286,385,510,682,660,1207,884,511,1055,832
湖南省,59,272,290,334,65,51,259,493,922,873,1047,2173,5053,2290,1530,3204,3407
广东省,114,126,266,302,64,273,128,158,65,239,59,188,165,124,128,212,469
广西壮族自治区,206,387,574,644,401,949,403,261,289,350,715,569,659,737,549,688,1141
海南省,48,32,29,15,57,137,91,42,23,42,121,46,118,136,81,221,127
重庆市,9,8,13,12,14,8,9,34,38,162,105,87,186,79,241,117,158
四川省,111,138,229,171,263,220,442,447,486,309,361,310,233,458,511,252,169
贵州省,16,10,29,18,37,153,201,208,275,430,2537,1626,2612,1354,1236,1148,1411
云南省,53,104,60,49,73,130,365,264,299,115,569,510,287,498,602,665,550
西藏自治区,2,2,1,1,,3,1,1,13,3,8,11,9,16,14,17,16
陕西省,77,202,125,181,52,53,109,187,67,125,95,55,27,79,34,73,41
甘肃省,11,15,9,6,9,8,21,16,11,7,18,29,15,7,12,4,24
青海省,7,18,21,16,11,6,8,7,6,7,21,16,8,10,10,7,12
宁夏回族自治区,8,48,15,30,20,7,24,45,9,2,7,8,14,16,14,16,1
新疆维吾尔自治区,7,23,42,58,12,19,28,31,41,59,34,51,67,47,35,28,27
数据来源：国家统计局
