数据库：分省年度数据
指标：大牲畜年底头数(万头)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,8.58,8.46,10.93,13.29,16.71,18.08,20.32,21.09,22.28,22.28,21.92,23.38,24.45,24.90,21.40,26.55,31.74,32.97,30.99
天津市,29.21,26.74,25.08,26.70,30.67,29.98,30.38,28.76,29.65,30.00,29.58,28.22,27.23,28.72,26.73,49.39,48.72,48.77,44.13
河北省,385.31,376.97,371.61,387.87,467.70,493.20,488.23,482.53,498.16,495.72,503.87,536.66,569.75,610.49,613.00,1019.05,988.90,944.28,929.44
山西省,129.62,118.88,118.46,116.79,125.50,122.00,123.87,123.86,122.71,121.22,127.64,133.69,139.39,152.39,175.60,312.67,283.66,294.09,297.99
内蒙古自治区,825.41,786.93,778.70,824.41,854.90,884.58,839.86,819.61,839.09,846.04,883.40,868.85,895.13,818.25,787.43,783.28,718.19,615.43,543.37
辽宁省,323.91,314.58,306.04,290.77,461.99,499.75,502.25,515.53,524.43,530.81,525.92,515.60,492.83,484.17,426.47,495.92,476.91,455.03,421.46
吉林省,294.51,338.43,330.69,342.05,475.11,501.03,490.66,503.06,504.25,508.86,537.55,556.63,539.20,615.05,571.09,634.94,615.15,599.41,560.39
黑龙江省,529.82,492.60,476.19,509.32,524.23,543.49,536.58,531.68,557.65,557.68,573.62,572.00,558.85,565.04,548.40,580.80,590.78,592.29,564.60
上海市,5.39,5.19,5.80,6.52,5.40,5.94,5.90,5.91,6.98,6.98,6.83,6.52,6.11,7.48,7.07,5.44,1.23,6.28,6.20
江苏省,27.83,29.00,31.72,32.91,33.54,34.15,34.54,34.53,36.40,39.12,40.86,39.65,41.75,40.67,40.15,73.88,74.05,74.12,78.84
浙江省,14.95,13.24,13.71,14.90,14.50,14.99,15.75,17.48,17.70,19.13,19.89,20.37,20.66,20.83,23.06,35.64,39.31,38.90,39.63
安徽省,95.25,88.17,79.98,80.92,168.23,164.97,153.01,155.66,152.26,147.68,151.53,149.47,145.17,144.00,149.66,433.60,464.38,496.33,587.64
福建省,31.64,29.71,30.92,32.65,66.63,67.31,67.80,68.87,68.47,69.77,70.17,70.28,70.84,63.13,64.15,105.92,107.84,109.93,109.40
江西省,276.64,257.32,246.45,241.40,301.75,313.34,305.12,301.13,294.50,281.40,277.10,269.33,239.40,221.33,224.70,371.87,366.39,358.55,356.71
山东省,283.96,371.90,390.09,413.78,510.21,518.38,511.04,514.40,514.20,509.08,502.39,507.45,547.16,610.79,680.13,1046.46,1089.08,1143.85,1128.76
河南省,394.88,388.27,377.01,376.09,899.88,955.31,943.85,936.80,942.34,988.60,1044.79,1080.05,1097.50,1082.46,1114.24,1508.80,1491.19,1469.45,1410.41
湖北省,242.28,243.55,241.53,238.46,355.96,362.23,353.19,345.27,334.86,321.79,327.53,335.56,319.12,315.38,327.22,384.32,409.09,404.00,401.87
湖南省,439.96,412.04,386.97,381.03,463.18,478.03,462.15,448.17,435.67,430.78,440.31,444.84,420.85,412.28,410.38,595.83,587.87,560.27,537.93
广东省,122.41,120.58,120.56,120.68,234.10,242.35,241.97,238.20,232.90,233.98,229.33,233.31,231.09,221.84,229.38,372.40,395.11,398.42,413.14
广西壮族自治区,363.29,353.97,350.71,352.36,448.58,479.60,484.68,495.13,494.21,486.58,495.55,493.49,463.52,441.86,448.65,777.23,783.28,802.72,807.96
海南省,49.21,51.17,54.46,52.77,76.47,84.24,79.13,84.33,87.39,90.52,92.58,92.65,86.72,78.14,82.26,142.99,147.04,147.04,149.47
重庆市,105.93,104.85,105.60,110.86,147.80,151.43,143.64,139.68,133.58,127.86,131.39,122.85,107.36,98.15,97.55,174.48,167.22,173.15,168.14
四川省,969.49,944.52,916.03,947.18,1066.29,1082.77,1082.05,1050.70,1049.23,1093.32,1084.95,1107.49,1102.51,1101.88,1090.59,1253.75,1207.58,1175.85,1161.45
贵州省,533.90,508.18,482.99,503.96,586.34,609.20,573.57,536.90,541.03,550.82,627.64,626.21,611.49,612.09,578.83,873.81,839.88,801.88,771.04
云南省,913.89,882.76,859.58,855.36,947.81,922.44,922.33,881.66,926.10,927.66,923.07,919.54,883.57,903.07,892.63,937.58,966.61,941.50,930.23
西藏自治区,656.01,654.68,642.20,628.30,648.47,654.21,652.48,659.35,643.56,660.37,662.19,697.08,696.10,674.32,665.50,686.15,667.61,647.76,633.28
陕西省,154.87,153.55,153.12,154.51,163.78,163.88,168.22,160.88,165.82,170.14,186.35,193.02,194.60,193.47,190.47,340.53,335.08,322.40,306.86
甘肃省,536.27,518.13,504.58,491.20,608.57,614.14,618.82,597.16,587.65,593.14,595.03,591.18,583.76,576.24,593.70,614.69,586.49,599.14,590.91
青海省,667.20,508.87,527.62,559.25,512.45,485.47,484.74,484.69,458.98,478.79,485.74,480.66,484.24,478.88,495.53,453.46,432.83,455.94,462.18
宁夏回族自治区,180.43,144.42,128.88,123.08,118.90,114.39,110.92,105.25,103.97,103.06,102.96,104.66,106.95,110.88,105.50,116.30,108.00,95.84,90.45
新疆维吾尔自治区,672.99,629.77,557.28,534.26,570.75,584.89,575.88,564.92,565.77,523.00,536.82,536.87,543.39,601.15,605.68,739.72,716.56,694.53,654.43
注：2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
