数据库：分省年度数据
指标：邮电业务总量(亿元)
时间：最近20年
地区,2017年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,1291.10,1181.88,889.89,757.04,631.23,566.45,1227.34,970.45,839.67,704.68,503.49,405.90,343.84,287.29,256.25
天津市,406.81,321.05,243.61,213.08,185.00,176.29,433.30,390.14,356.96,303.77,225.38,174.55,142.39,113.93,92.04
河北省,,997.93,825.53,728.72,598.29,539.62,1351.63,1199.83,1057.91,847.81,638.54,523.44,428.60,293.18,223.85
山西省,655.40,515.93,431.13,392.27,338.94,305.62,735.93,635.07,562.48,438.38,329.76,274.45,216.13,144.51,110.14
内蒙古自治区,516.90,400.30,336.04,311.23,273.34,245.07,601.37,554.26,466.51,364.36,254.24,197.16,156.63,108.36,86.49
辽宁省,1000.10,804.47,647.29,582.21,516.07,472.64,1171.63,965.11,826.70,706.37,559.76,443.82,369.46,296.01,259.92
吉林省,557.75,387.26,328.20,295.46,262.91,238.61,613.17,525.94,460.83,410.27,336.72,259.70,212.64,152.90,117.80
黑龙江省,676.60,511.44,430.47,377.34,329.81,307.77,745.58,697.15,605.50,513.06,406.81,338.36,285.22,221.92,185.65
上海市,,1164.51,906.01,791.82,637.93,563.42,1275.24,1034.72,971.26,830.46,553.49,409.67,349.05,292.35,231.76
江苏省,,2316.49,1680.33,1402.80,1120.36,986.55,2328.76,1812.88,1581.86,1319.65,997.38,723.89,556.49,441.71,344.20
浙江省,3518.00,2424.55,1682.62,1283.52,1025.09,901.29,2101.84,1736.68,1574.21,1361.66,1034.33,830.39,677.17,493.41,374.91
安徽省,,823.46,630.02,533.98,418.10,369.19,887.55,703.42,562.68,448.02,355.16,278.18,222.98,169.37,147.65
福建省,1289.86,1077.84,856.93,738.45,592.90,510.83,1214.39,999.18,890.23,799.91,631.94,519.42,430.47,307.19,241.23
江西省,790.80,620.07,445.81,379.23,310.38,279.20,692.00,592.68,493.78,409.11,318.31,259.48,201.63,139.58,122.25
山东省,1891.30,1474.59,1212.65,1063.83,891.57,809.02,1960.68,1676.60,1499.52,1237.38,968.46,711.72,538.86,382.36,325.68
河南省,1816.04,1328.15,1011.06,837.83,680.03,603.67,1473.45,1278.56,1124.63,927.67,717.34,549.41,433.98,290.46,225.99
湖北省,,965.75,719.09,610.16,491.29,431.77,1039.03,841.78,714.28,584.26,457.79,370.74,290.58,210.91,170.47
湖南省,,906.66,744.88,595.29,491.21,439.94,1057.99,900.40,769.39,635.38,491.10,366.64,285.50,227.01,188.85
广东省,6107.29,4378.78,3353.35,2768.09,2161.56,1888.00,4553.38,4149.11,3688.66,3171.73,2657.14,2129.25,1786.05,1160.41,919.03
广西壮族自治区,799.92,651.53,502.10,435.26,366.36,326.55,821.89,694.30,588.30,481.24,385.92,323.78,262.88,162.26,127.76
海南省,,183.92,139.43,126.42,104.89,93.80,224.66,191.98,160.60,124.85,97.76,74.97,62.35,40.41,39.27
重庆市,,554.56,417.90,357.59,276.99,243.92,581.30,490.89,426.99,366.62,276.47,210.11,168.65,121.31,89.65
四川省,1510.00,1297.59,1026.97,842.83,692.31,606.88,1450.69,1173.07,934.30,782.89,590.69,458.27,335.58,252.50,223.27
贵州省,,515.16,381.67,331.77,262.05,219.32,512.47,465.57,371.96,292.70,223.47,172.08,131.23,100.02,76.94
云南省,,792.58,566.85,452.75,363.44,324.07,773.04,678.98,577.88,469.97,327.70,262.18,206.30,153.05,126.82
西藏自治区,,56.38,47.83,41.74,34.86,25.51,64.34,53.00,40.86,30.88,21.52,16.34,13.34,9.81,7.40
陕西省,951.11,760.97,566.60,477.84,386.41,348.55,857.24,746.57,641.65,530.90,424.49,323.54,244.03,163.66,134.07
甘肃省,,365.61,277.52,238.71,189.88,172.29,423.15,361.75,287.60,219.31,167.24,136.46,108.39,81.72,65.36
青海省,,105.38,80.75,67.46,57.04,48.29,114.30,90.82,84.13,54.02,39.96,32.06,26.14,22.14,18.35
宁夏回族自治区,,135.42,102.63,80.43,65.66,57.58,135.20,119.99,97.24,79.90,59.92,47.09,38.18,28.52,21.88
新疆维吾尔自治区,,404.80,349.26,317.07,263.36,231.81,555.95,462.64,379.87,304.64,228.80,172.38,152.01,114.88,96.81
注：1.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　2.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
