数据库：分省年度数据
指标：城市燃气普及率(%)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
天津市,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
河北省,,99.72,99.46,99.28,98.78,98.88,98.81,94.26,98.35,99.79
山西省,,98.70,96.43,98.30,98.34,97.92,97.31,95.77,96.10,95.18
内蒙古自治区,,97.26,95.80,94.76,96.01,94.90,94.09,92.28,87.93,84.39
辽宁省,,98.75,97.95,97.52,97.14,96.07,94.76,96.19,96.15,96.02
吉林省,,92.93,91.80,93.04,92.99,93.00,92.46,91.98,91.43,89.46
黑龙江省,,90.82,91.09,89.50,87.77,86.66,86.61,86.23,85.58,83.39
上海市,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
江苏省,,99.92,99.77,99.81,99.73,99.54,99.56,99.49,99.59,99.43
浙江省,,100.00,100.00,100.00,99.97,99.95,99.91,99.81,99.80,99.49
安徽省,,99.24,98.70,98.56,98.57,98.05,97.55,96.81,96.14,94.61
福建省,,99.21,98.42,98.29,97.45,97.21,98.56,98.83,98.85,98.60
江西省,,97.59,97.87,97.40,97.38,95.31,94.83,95.18,95.10,94.40
山东省,,99.31,99.14,99.20,99.57,99.51,99.37,99.49,99.58,99.48
河南省,,96.83,97.05,96.30,93.96,88.93,86.02,83.76,81.98,77.94
湖北省,,98.40,97.92,97.64,97.13,96.30,94.49,94.71,95.09,95.09
湖南省,,97.29,96.65,93.64,93.50,93.28,92.28,91.24,91.93,91.33
广东省,,98.99,97.94,96.66,96.88,97.43,97.60,96.64,96.89,94.93
广西壮族自治区,,99.36,98.84,98.15,97.80,95.85,94.46,92.99,93.58,93.26
海南省,,98.95,97.73,96.74,98.32,97.34,97.77,96.49,94.59,92.15
重庆市,,96.16,97.36,97.39,96.37,96.11,95.34,94.27,93.09,93.32
四川省,,97.41,94.95,93.70,91.22,91.78,92.46,90.89,89.68,87.96
贵州省,,94.55,91.80,87.25,87.74,85.66,84.06,76.30,74.86,71.35
云南省,,78.65,77.92,77.31,75.93,78.78,76.79,76.18,71.53,66.46
西藏自治区,,63.20,60.11,55.05,56.77,52.99,79.98,57.13,38.62,29.79
陕西省,,98.62,97.80,96.19,93.61,94.66,94.73,95.08,93.75,94.11
甘肃省,,94.80,92.66,90.91,90.56,88.15,85.77,83.48,80.22,77.81
青海省,,93.81,93.83,94.69,94.19,87.55,85.96,88.81,84.76,92.65
宁夏回族自治区,,97.52,96.65,93.85,91.71,90.69,87.26,89.23,89.08,79.67
新疆维吾尔自治区,,98.39,98.52,98.01,98.32,97.89,97.63,96.87,96.37,96.60
注：人均和普及率指标按城区人口与暂住人口之和计算，以公安部门的户籍统计和暂住人口统计为准。
数据来源：国家统计局
