数据库：分省年度数据
指标：乡村户数(万户)
时间：最近20年
地区,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,215.20,212.42,215.95,203.83,189.78,176.86,143.60,142.24,132.88,131.05,128.01
天津市,129.03,129.07,130.28,128.89,127.11,125.38,122.57,119.76,117.88,115.05,112.85
河北省,1551.16,1536.91,1525.58,1497.39,1476.82,1461.93,1445.65,1448.55,1439.38,1436.10,1434.69
山西省,791.89,758.37,694.42,672.03,657.47,650.08,644.24,638.39,634.37,630.12,625.14
内蒙古自治区,391.91,380.07,364.03,357.82,353.28,357.05,354.24,351.42,353.15,350.98,352.28
辽宁省,720.08,722.51,722.93,710.65,703.79,701.13,689.23,695.59,696.19,692.10,685.87
吉林省,420.42,419.24,411.31,402.84,399.08,394.79,390.67,383.69,381.84,377.91,376.05
黑龙江省,514.11,512.46,509.15,509.49,504.90,493.96,498.30,493.99,486.74,479.10,474.68
上海市,112.08,119.02,114.22,95.20,96.52,101.60,121.11,111.07,112.84,114.06,115.17
江苏省,1444.65,1466.28,1483.33,1481.77,1489.55,1488.28,1495.50,1593.21,1562.94,1551.40,1552.48
浙江省,1257.09,1263.07,1254.22,1237.44,1227.45,1226.54,1221.13,1224.62,1193.53,1168.74,1146.57
安徽省,1446.06,1438.46,1424.31,1392.59,1369.90,1364.64,1351.37,1346.13,1333.03,1320.59,1310.92
福建省,733.69,724.44,712.34,704.29,696.38,681.08,681.66,682.23,682.29,679.35,676.66
江西省,889.28,878.86,867.31,844.02,831.92,819.65,808.46,795.32,785.04,776.12,758.59
山东省,2163.18,2153.87,2146.09,2110.10,2091.44,2078.79,2074.91,2050.41,2052.12,2043.08,2031.74
河南省,2065.74,2061.54,2060.75,2046.26,2036.58,2032.72,2025.10,2025.66,2015.61,2005.79,1998.45
湖北省,1071.75,1071.75,1062.14,1044.54,1038.20,1038.36,1022.30,1016.42,1005.97,997.85,994.55
湖南省,1591.71,1583.83,1568.80,1547.60,1526.09,1516.55,1504.53,1492.50,1481.70,1468.71,1459.07
广东省,1720.29,1702.32,1686.62,1660.80,1618.24,1574.38,1557.61,1540.84,1493.86,1487.37,1443.33
广西壮族自治区,1060.83,1039.24,1029.14,1015.54,1000.11,990.74,1002.34,986.10,973.10,950.24,936.74
海南省,131.58,130.79,125.27,122.30,119.02,116.23,114.41,112.58,110.88,108.73,107.28
重庆市,724.14,721.14,727.77,731.05,724.06,717.49,714.86,718.84,714.99,718.65,718.31
四川省,2070.15,2063.41,2056.23,2030.88,2008.93,1986.20,1978.39,1979.20,1973.42,1967.18,1967.09
贵州省,900.66,852.81,858.82,840.08,826.17,814.20,802.44,792.27,781.77,762.45,756.09
云南省,969.27,961.21,947.32,927.56,915.29,900.25,888.81,877.37,865.74,885.29,844.90
西藏自治区,52.36,50.34,47.78,46.03,43.89,42.78,41.57,40.35,39.26,39.02,38.88
陕西省,710.40,714.19,711.97,707.11,705.43,704.30,705.03,705.03,703.35,698.19,696.23
甘肃省,485.75,482.39,480.63,474.06,469.39,465.94,464.50,463.69,459.39,457.14,454.52
青海省,91.75,89.97,87.49,85.77,82.85,80.19,77.82,77.60,75.88,73.82,72.50
宁夏回族自治区,105.90,104.27,103.26,102.06,97.49,99.45,97.43,93.64,92.70,92.20,89.36
新疆维吾尔自治区,270.21,262.73,255.15,245.68,236.40,233.37,228.65,223.92,219.58,214.76,210.36
数据来源：国家统计局
