数据库：分省年度数据
指标：农村居民人均粮食出售量(公斤)
时间：最近20年
地区,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,141.13,149.46,129.51,148.55,148.04,182.09,143.43,155.26,108.85,152.40,208.07
天津市,341.61,291.04,309.61,311.47,199.42,199.77,223.48,184.21,263.56,225.38,235.65
河北省,604.39,535.84,395.65,476.16,414.91,384.35,420.55,371.08,283.26,249.72,297.54
山西省,389.18,310.46,327.61,358.76,275.24,231.02,232.76,174.22,154.66,133.20,116.34
内蒙古自治区,1128.76,1144.56,901.98,1145.59,1087.89,896.39,864.72,861.52,693.25,606.12,544.80
辽宁省,1289.99,1219.57,1029.53,1111.14,1129.43,955.90,962.20,1176.19,847.67,786.25,780.08
吉林省,2871.78,2648.42,2431.72,2850.97,2476.95,1994.92,1874.06,2152.48,1449.11,1785.46,1170.64
黑龙江省,3457.81,2768.79,3088.99,2780.53,2713.47,2146.83,2089.17,2001.39,1411.15,1672.23,1412.60
上海市,44.16,51.08,56.89,51.72,34.03,51.05,59.83,80.87,51.32,108.63,105.98
江苏省,576.91,562.64,454.56,511.13,474.98,473.22,419.54,386.36,302.55,328.89,337.86
浙江省,71.14,75.82,77.88,80.66,78.05,86.32,72.43,83.78,67.96,92.68,86.27
安徽省,761.31,713.65,679.66,621.14,593.10,562.56,596.42,444.13,329.58,260.74,362.63
福建省,115.65,106.29,132.92,114.60,109.62,107.77,107.94,105.43,41.06,69.56,70.90
江西省,486.79,474.23,527.10,543.77,496.26,464.55,483.64,436.33,354.68,317.11,307.17
山东省,632.95,547.88,563.16,568.82,535.16,461.53,478.06,424.47,360.11,393.95,406.04
河南省,670.57,633.68,540.07,546.95,528.71,453.71,480.87,366.64,289.29,280.35,276.88
湖北省,488.55,451.65,447.06,421.69,390.36,385.88,390.18,382.44,302.52,299.98,328.47
湖南省,200.56,206.57,245.30,283.77,224.98,191.56,208.54,184.91,143.29,145.42,127.40
广东省,71.76,80.08,82.05,83.02,82.53,82.35,89.34,91.04,98.55,97.69,84.41
广西壮族自治区,136.61,150.07,148.12,167.38,141.56,151.77,136.21,126.75,97.45,87.09,80.03
海南省,52.59,34.19,54.25,81.89,53.27,77.92,77.67,59.51,84.90,85.38,74.99
重庆市,111.58,102.09,88.28,106.65,78.99,79.58,66.62,69.09,67.78,71.67,60.56
四川省,97.64,100.00,85.50,114.64,91.08,98.96,93.44,80.56,76.04,76.84,65.00
贵州省,49.38,81.75,56.60,76.77,70.79,68.93,66.72,64.87,67.07,62.97,62.55
云南省,104.84,112.58,85.89,101.94,108.35,117.67,122.60,100.27,92.91,92.31,100.80
西藏自治区,74.15,41.02,42.18,83.63,69.41,52.05,55.60,69.24,37.51,31.78,53.21
陕西省,276.02,257.20,210.75,279.88,247.11,221.21,215.94,185.89,162.27,142.53,150.35
甘肃省,285.66,252.24,205.85,219.79,197.34,200.62,179.83,192.01,122.84,120.37,126.63
青海省,84.39,71.74,77.89,99.85,70.18,73.04,67.72,68.52,24.50,32.69,50.98
宁夏回族自治区,496.02,438.49,395.62,428.68,410.90,434.01,466.16,477.98,418.24,325.11,407.01
新疆维吾尔自治区,1009.94,806.43,634.74,573.91,427.77,426.25,447.59,497.28,308.47,321.80,348.48
注：数据来源于农村住户抽样调查资料。
数据来源：国家统计局
