数据库：分省年度数据
指标：天然气储量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,,,,,
天津市,,,,,,274.91,274.30,278.53,279.79,278.78
河北省,,,,,,338.03,317.00,324.49,325.86,315.37
山西省,,,,,,413.75,419.10,75.95,,
内蒙古自治区,,,,,,9630.49,8149.10,8098.14,8042.54,8344.30
辽宁省,,,,,,154.54,149.90,156.57,169.46,178.54
吉林省,,,,,,731.25,685.00,667.81,756.35,776.22
黑龙江省,,,,,,1302.33,1317.90,1344.51,1353.93,1381.51
上海市,,,,,,,,,,
江苏省,,,,,,23.31,23.20,24.02,24.30,24.35
浙江省,,,,,,,,,,
安徽省,,,,,,0.25,0.30,0.26,0.24,0.30
福建省,,,,,,,,,,
江西省,,,,,,,,,,
山东省,,,,,,334.93,342.40,348.35,357.90,345.90
河南省,,,,,,74.77,72.20,70.79,72.09,75.08
湖北省,,,,,,46.87,47.40,4.42,48.79,49.68
湖南省,,,,,,,,,,
广东省,,,,,,0.59,0.50,0.50,0.50,0.30
广西壮族自治区,,,,,,1.58,1.40,1.32,1.32,1.24
海南省,,,,,,24.35,3.10,3.69,-3.45,-1.29
重庆市,,,,,,2726.90,2641.80,2456.55,2472.83,1928.31
四川省,,,,,,13191.61,12654.50,11708.56,11874.38,9351.09
贵州省,,,,,,6.10,6.10,6.31,6.39,5.44
云南省,,,,,,0.47,0.50,0.80,0.80,2.24
西藏自治区,,,,,,,,,,
陕西省,,,,,,7802.50,7587.10,8047.88,6231.14,6376.26
甘肃省,,,,,,318.03,272.00,256.09,241.28,224.58
青海省,,,,,,1354.44,1396.90,1457.94,1511.79,1281.60
宁夏回族自治区,,,,,,274.44,272.90,272.76,294.40,294.96
新疆维吾尔自治区,,,,,,10251.78,10202.00,9746.20,9053.88,9324.37
注：天然气的数据为剩余技术可采储量。
数据来源：国家统计局
