数据库：分省年度数据
指标：收入法生产总值(亿元)
时间：最近20年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,29883.0,27041.2,24779.1,22926.0,21134.6,19024.7,17188.8,14964.0,12900.9,11813.1,10425.5,8387.0,7149.8,6252.5,5267.2,4525.7
天津市,12450.6,11477.2,10879.5,10640.6,9945.4,9043.0,8112.5,6830.8,5709.6,5182.4,4158.4,3538.2,3158.6,2621.1,2257.8,1926.9
河北省,30640.8,28474.1,26398.4,25208.9,24259.6,23077.5,21384.7,18003.6,15306.9,14200.1,12152.9,10043.0,8773.4,7588.6,6333.6,5518.9
山西省,14484.3,11946.4,11836.4,12094.7,11987.2,11683.1,10894.4,8903.9,7147.6,7223.0,5935.6,4713.6,4079.4,3496.0,2854.3,2324.8
内蒙古自治区,14898.1,13789.3,12949.0,12158.2,11392.4,10470.1,9458.1,8199.9,7104.2,6242.4,5166.9,4161.8,3523.7,2942.4,2388.4,1940.9
辽宁省,21693.0,20392.5,20210.3,20025.7,19208.8,17848.6,16354.9,13896.3,12815.7,12137.7,10292.2,8390.3,7260.8,6469.8,5906.3,5458.2
吉林省,10922.0,10427.0,10018.0,9966.5,9427.9,8678.0,7734.6,6410.5,5434.8,4834.7,4080.3,3226.5,2776.5,2455.2,2141.0,2043.1
黑龙江省,12313.0,11895.0,11690.0,12170.8,11849.1,11015.8,9935.0,8308.3,7218.9,7134.2,6126.3,5329.8,4756.4,4134.7,3609.7,3242.7
上海市,32925.0,29887.0,26887.0,25269.8,23204.1,21305.6,20009.7,17915.4,15742.4,14536.9,12878.7,10598.9,9197.1,8101.6,6804.0,5795.0
江苏省,85869.8,77350.9,71255.9,64830.5,59349.4,53701.9,48839.2,41383.9,34471.7,30945.5,25988.4,21240.8,18121.3,14823.1,12442.9,10606.9
浙江省,52403.1,47254.0,43507.7,40023.5,37334.6,34382.4,31854.8,27399.9,22833.7,21284.6,18640.0,15302.7,13028.3,11482.1,9753.4,8040.7
安徽省,29676.2,26307.7,23831.2,22519.7,20584.0,18341.7,16284.9,13249.8,10864.7,9517.7,7941.6,6500.3,5675.9,5129.1,4307.8,3827.7
福建省,33842.4,29609.4,26819.5,24942.1,22503.8,20190.7,17917.7,15002.5,12418.1,10931.8,9325.6,7468.6,6415.5,5712.1,4999.6,4467.6
江西省,20210.8,18388.6,16780.9,15667.8,14300.2,12807.7,11584.5,9383.2,7630.0,6934.2,5777.6,4696.8,3941.2,3398.1,2812.7,2450.5
山东省,63012.1,58762.5,55288.8,50774.8,47344.3,42957.3,39064.9,33922.5,29540.8,27106.2,22718.1,18967.8,15947.5,13308.1,10903.2,10076.5
河南省,44824.9,40249.3,37084.1,34574.8,31632.5,28961.9,26318.7,22655.0,19181.0,17735.9,14824.5,11977.9,10243.5,8411.2,6942.4,6035.5
湖北省,37235.0,33353.0,30344.0,28242.1,25378.0,22590.9,19942.5,16226.9,13192.1,11497.5,9451.4,7531.8,6469.7,5546.8,4757.5,4212.8
湖南省,33828.1,30853.5,28538.6,25881.3,23545.2,21207.2,18915.0,15574.3,12772.8,11307.4,9285.5,7431.6,6369.9,5542.6,4660.0,4151.5
广东省,91648.7,82163.2,74732.4,68173.0,62503.4,57007.7,53072.8,45944.6,39464.7,36704.2,31742.6,25961.2,21963.0,18658.3,15979.8,13601.9
广西壮族自治区,17790.7,16116.6,14797.8,13587.8,12448.4,11303.6,10299.9,8552.4,7112.9,6455.4,5474.8,4417.8,3742.1,3305.1,2798.2,2523.7
海南省,4497.5,4090.2,3734.2,3449.0,3115.9,2789.4,2463.8,2020.5,1620.3,1474.7,1234.0,1027.5,884.9,802.7,714.0,642.7
重庆市,20066.3,18023.0,16040.5,14623.8,13027.6,11595.4,10161.2,8065.3,6651.2,5899.5,4770.7,3900.3,3448.4,3059.5,2615.6,2279.8
四川省,37905.1,33138.5,30342.0,28891.3,26518.0,23922.4,21050.9,17224.8,14190.6,12756.2,10562.1,8494.7,7195.9,6304.0,5346.2,4725.0
贵州省,13605.4,11792.4,10541.0,9173.1,7973.1,6742.2,5615.6,4519.0,3856.7,3504.5,2847.5,2264.1,1939.9,1649.4,1429.0,1243.4
云南省,18486.0,16369.0,14960.0,14041.7,12825.5,11097.4,9523.1,7735.3,6574.4,6016.6,5077.4,4090.7,3497.7,3136.4,2633.4,2358.7
西藏自治区,1349.0,1173.0,1043.0,939.7,828.2,710.2,611.5,512.9,445.7,398.2,344.1,285.9,243.1,217.9,186.0,162.0
陕西省,21473.5,19045.8,17898.8,17402.5,15905.4,14142.4,12175.1,9845.2,7997.8,7177.8,5681.8,4595.6,3817.2,3141.6,2587.7,2253.4
甘肃省,7336.7,6907.9,6556.6,6518.4,6014.5,5393.1,4816.9,3943.7,3268.3,3071.7,2675.1,2203.0,1864.6,1653.6,1399.9,1232.0
青海省,2465.1,2258.2,2011.0,1847.7,1713.3,1528.5,1370.4,1144.2,939.7,896.9,720.1,585.2,499.4,443.7,385.0,340.7
宁夏回族自治区,3200.3,2781.4,2579.4,2473.9,2327.7,2131.0,1931.8,1571.7,1266.7,1139.2,877.6,683.3,579.9,519.9,442.6,377.2
新疆维吾尔自治区,11159.9,9630.8,9306.9,9264.5,8392.6,7411.8,6532.0,5360.2,4237.0,4142.5,3500.0,2957.3,2520.5,2170.4,1889.2,1612.6
注：按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年以前年度的地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
