数据库：分省年度数据
指标：农用塑料薄膜使用量(吨)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,7699.00,8243.30,8972.60,9866.90,10401.50,10902.90,12356.47,12549.15,13268.39,13539.10,13054.68,14199.30,14615.30,10919.69,10916.00,9886.00,14419.00,12456.20
天津市,8096.00,9069.82,10906.41,11644.00,10551.90,12274.00,12901.00,12401.00,12568.00,12009.00,12640.00,11281.00,11439.00,12430.00,13421.00,13000.00,12922.05,11614.00
河北省,103211.00,109833.00,128100.00,138434.00,137983.00,137918.00,136006.00,126941.00,123785.00,118619.00,118919.00,116508.00,113687.00,111334.00,111667.00,104588.00,89096.00,75172.00
山西省,48555.00,49067.41,49997.61,48921.86,47863.87,48380.50,46399.00,45864.00,41531.00,38866.20,41534.00,36073.00,35724.00,34619.50,33515.00,33065.00,29169.00,29283.00
内蒙古自治区,94194.00,93969.20,94306.34,95631.25,95020.90,89409.37,80822.00,69234.00,60659.76,60558.00,51136.00,49058.00,41253.00,40779.50,40306.00,40124.00,32066.00,30031.00
辽宁省,113505.00,117975.72,124791.34,137273.22,141942.21,146206.80,146068.00,145054.00,143348.00,125382.00,123338.00,109889.00,112390.00,99322.00,91765.00,83114.00,80316.00,91369.00
吉林省,53130.00,56216.00,60752.00,59565.00,59164.00,57858.00,58485.00,56700.00,57069.00,52552.00,51980.00,50107.00,47250.00,45620.00,41718.00,41848.00,42793.00,45253.00
黑龙江省,71831.00,77431.00,79770.00,82575.00,83097.00,84424.00,85378.00,84590.00,75589.00,69377.00,64567.00,65606.00,63612.00,60025.00,56565.00,51657.00,49884.00,48944.00
上海市,13213.00,14780.80,15664.30,17061.92,18030.25,19286.79,19436.00,19300.20,20489.00,21128.22,20389.00,21280.00,21287.00,22107.00,24414.00,23743.00,22472.00,22460.00
江苏省,114153.00,116064.00,115085.00,113941.00,113243.00,119846.00,116846.00,112550.00,106440.00,100194.00,94252.00,85375.00,80407.00,75100.00,72029.00,70433.00,69678.00,68823.00
浙江省,66737.00,68731.00,67891.00,67300.00,67458.00,65677.00,64663.00,62287.00,58416.00,55426.00,54402.00,52104.00,49150.00,47500.00,44730.00,43615.00,42429.00,39240.00
安徽省,103735.00,97828.00,97601.00,96966.00,97943.00,96155.00,94882.00,91171.00,86114.00,80721.00,76678.00,71660.00,77394.00,76209.00,78293.00,72813.00,67565.00,65487.00
福建省,58507.00,60002.00,62415.00,62424.00,62067.00,60932.00,59154.00,58692.00,57814.00,57053.00,58350.00,61799.00,60881.00,48452.00,36023.00,29538.00,26491.00,25553.00
江西省,52020.00,52218.00,53509.00,52757.00,53977.00,53122.00,51401.00,50275.00,47710.00,45491.00,43719.00,41645.00,38071.00,40854.00,45010.00,42828.00,33930.00,35407.00
山东省,267113.00,276935.00,287098.00,297961.00,301575.00,305168.00,318727.00,318055.00,318317.00,322965.00,313844.00,321250.00,341192.00,343524.00,331646.00,327160.00,305676.00,292175.00
河南省,150762.00,152838.00,157298.00,163149.00,162001.00,163477.00,167794.00,155169.00,151616.00,146979.00,141354.00,130736.00,126619.00,118414.00,108427.00,101631.00,98809.00,98610.00
湖北省,58801.00,63554.00,65876.00,67306.00,71321.00,69186.00,66310.00,65044.00,65044.00,63768.00,61300.00,59135.00,58421.00,55830.00,54622.00,55099.00,67621.00,52443.00
湖南省,83792.00,85397.28,85208.72,84679.00,83989.00,82946.00,82406.80,79536.00,73729.00,73173.00,71353.00,69465.00,68042.00,63674.00,59306.00,58717.00,50609.00,47568.00
广东省,43842.00,44814.00,45866.90,45505.00,46795.00,46206.00,45781.00,44430.00,44035.00,42116.00,40594.00,35602.00,32374.00,32790.50,33207.00,36331.00,32063.00,31452.00
广西壮族自治区,47577.00,47195.12,47693.00,48445.00,46276.00,44087.00,41479.00,39699.00,37403.00,35119.00,33263.00,29708.00,26747.00,25077.00,23614.00,20927.00,20540.00,19944.00
海南省,30550.00,25539.00,27641.86,26703.98,32433.00,28100.00,23332.97,21394.00,19386.69,16075.00,14756.17,19417.41,21947.21,15766.05,9584.89,4169.22,5095.00,3530.00
重庆市,42559.00,44625.00,45478.81,45264.71,45161.65,43824.00,42860.00,40928.00,39332.00,36602.00,34712.00,30914.00,30053.00,28226.00,27472.00,26834.00,24245.00,25337.00
四川省,123235.00,120186.00,130993.00,132384.00,132170.00,130263.00,127854.00,126827.00,122227.00,114161.00,109217.00,103240.00,99424.00,96327.00,91255.00,85900.00,81751.00,75648.00
贵州省,44121.00,55030.67,51138.39,51053.00,49403.00,48949.00,47495.00,44062.00,40857.00,36174.00,46470.00,47765.00,33710.00,30681.00,29321.00,26657.00,24629.00,22838.00
云南省,122139.00,119685.00,120150.00,115926.00,113104.00,110993.00,106606.00,101280.00,91229.00,85690.00,81354.00,74830.00,69845.00,68833.00,67821.00,63127.00,61542.00,56638.00
西藏自治区,1492.00,1777.82,1870.28,1784.33,1866.29,1723.80,1335.70,1152.31,1031.68,852.00,440.57,527.00,484.31,602.19,720.06,680.00,578.96,521.00
陕西省,44780.00,44146.71,43953.56,43716.55,43068.40,41478.69,40847.06,39076.70,37912.00,36811.00,34970.92,27612.00,26780.00,24991.00,23644.00,22913.00,21778.11,20612.00
甘肃省,152253.00,161272.00,172188.00,195092.00,183735.00,176169.00,165791.00,150374.00,143989.00,123712.00,98483.20,90670.00,84642.00,79189.00,78174.00,77013.00,77200.00,79410.00
青海省,7780.00,7556.34,8415.78,7943.90,7377.00,7045.86,6472.24,5329.18,5405.86,3113.36,2113.79,1070.00,958.62,1123.00,1157.00,960.01,994.22,821.00
宁夏回族自治区,15600.00,14975.22,15087.33,15136.78,15641.55,15281.26,16627.27,15281.74,15243.52,14052.51,12232.32,9364.56,7737.00,6536.16,6061.47,5979.00,5919.00,5289.00
新疆维吾尔自治区,262677.00,269839.00,252646.00,266197.50,268901.07,262921.10,206666.00,187756.00,182977.00,170713.00,158280.00,169034.00,141331.50,128626.25,115921.00,105636.00,99390.00,96828.00
数据来源：国家统计局
