数据库：分省年度数据
指标：工业污染治理完成投资(万元)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,5122,7308,19384,156666,98770,99958,75695,42768,32840,10946,19340,34421,78475,81207,101397,108880,47895
天津市,74511,125944,72449,78305,103597,240072,220923,148366,125559,152848,164684,180054,168270,150527,149534,186316,72546
河北省,129336,373871,987539,342738,248465,541596,889518,511769,236290,243399,108588,132272,205675,215485,190689,251519,130876
山西省,284910,426034,387185,515241,300742,278738,311477,555609,323269,279450,279574,386711,529370,457241,367603,197885,176997
内蒙古自治区,154407,254401,341327,421211,406191,438935,775439,626746,189715,310164,132400,178258,219189,167487,177235,25678,42855
辽宁省,98020,121547,69238,130471,193853,189950,382184,276908,119447,116032,147708,196562,201645,237002,520470,369499,226576
吉林省,8063,67771,28298,90702,98402,121203,163707,93731,57269,65624,63366,79255,93865,80308,39810,51531,42205
黑龙江省,40805,31850,73141,91220,173809,193396,177572,206988,39287,100891,49494,99318,95079,102110,58189,45615,54297
上海市,90711,299377,80827,448240,519488,211726,177859,52077,115915,63602,94107,68357,103901,164318,59269,87517,45208
江苏省,531335,599923,811733,447999,747786,621741,485096,593776,390144,310062,185995,270554,397126,537032,280053,389481,219819
浙江省,505097,340650,353080,369011,601869,586017,675944,576645,283023,178373,119568,193574,148007,213773,250363,199470,112509
安徽省,243546,270492,199045,258955,415486,179450,176220,413195,127350,92793,58895,108282,115341,113853,54555,45443,61054
福建省,175766,127645,164162,147394,226267,446910,423817,383964,237635,142599,153296,128692,155763,138007,196035,345431,224537
江西省,93009,201243,205246,106395,104485,147833,123466,155192,39478,66235,63775,39540,50665,82688,68579,72310,59510
山东省,519487,954348,675118,1130995,1264063,945934,1416464,843493,670633,624466,456759,515832,844159,673420,596643,605063,402530
河南省,144548,424762,338292,504559,651538,330143,554592,439720,148347,213728,125120,154242,246110,338132,247335,206815,141719
湖北省,198108,133861,137434,174632,369051,157976,262884,251745,148964,92873,277416,281332,161453,188634,148873,148097,98257
湖南省,33508,54788,70505,86090,127037,261425,173424,233655,179561,97039,137949,133806,143905,133641,173309,141239,78981
广东省,235470,317016,273490,420272,264812,347103,378641,324634,280996,166420,310584,227464,403276,462758,313708,370384,260626
广西壮族自治区,35534,48620,58273,75847,130433,247152,178909,183218,85644,86230,92845,117118,149751,181940,86604,103730,35668
海南省,476,6258,3576,34253,16138,13161,56152,35094,48279,27534,4354,3563,3774,3889,21389,3789,1921
重庆市,40176,37461,49057,60702,37141,59885,50284,78880,38226,49384,77502,70747,97396,100070,36742,39121,28626
四川省,244414,123260,163097,126934,116049,118259,232452,188392,110608,166537,71627,96191,193808,201033,203008,200386,221560
贵州省,154911,89572,66125,53360,56904,107033,184765,195562,124663,131970,68080,89475,102029,45646,100771,59258,40521
云南省,142339,119331,98665,59617,127174,215878,244003,238930,197259,137331,106272,94880,102677,86423,94089,67508,46016
西藏自治区,2094,,718,694,1116,2950,10283,9889,1775,1628,,,,223,129,,
陕西省,194957,294610,167776,172274,194913,279915,334478,417562,271266,237248,336535,205999,106582,97045,73747,126946,54014
甘肃省,33844,48765,67193,74957,109742,40526,176244,182144,210984,105338,146483,123302,118436,149087,136468,66610,59881
青海省,2897,38903,23118,15285,96249,49343,74508,30456,21880,27858,9747,29439,11165,7913,7773,4670,2612
宁夏回族自治区,60458,62335,79088,85551,242101,104318,272967,165486,69160,38735,40896,43472,90631,46272,39886,17710,53181
新疆维吾尔自治区,64729,149567,148555,134775,146370,158263,316542,220054,79106,106276,66813,143497,88878,66748,45229,44008,38062
数据来源：国家统计局
