数据库：分省年度数据
指标：城市绿地面积(万公顷)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,9.27,8.87,8.53,8.35,8.21,8.13,6.84,6.84,6.55,6.35,6.27,6.17,4.70,4.48,5.32,4.44,4.93
天津市,4.37,4.29,4.65,4.43,3.34,2.84,2.53,2.32,2.23,2.17,1.92,1.74,,,1.57,1.57,1.42
河北省,9.88,9.37,9.14,8.83,8.54,8.13,7.94,7.60,7.35,7.11,6.90,6.09,5.69,5.08,4.73,4.48,4.17
山西省,5.66,5.14,4.82,6.40,4.30,4.20,4.04,3.63,3.57,3.25,3.11,2.80,2.53,2.18,2.03,1.93,1.54
内蒙古自治区,6.85,6.91,6.72,6.72,6.56,6.31,5.74,4.93,4.67,4.11,3.81,2.96,2.60,2.41,2.12,1.96,1.90
辽宁省,14.79,12.81,12.23,12.30,11.66,12.42,12.20,12.05,11.83,9.60,9.28,8.41,7.88,7.69,6.35,7.46,7.18
吉林省,9.26,9.00,6.93,4.81,4.66,4.73,4.53,3.84,3.88,3.87,3.79,3.48,3.21,2.90,2.73,2.69,2.55
黑龙江省,7.15,6.87,7.07,6.97,7.70,7.65,7.63,7.51,7.38,7.22,6.96,6.42,5.88,22.01,3.68,5.14,4.91
上海市,16.46,15.78,13.94,13.63,12.88,12.73,12.57,12.43,12.42,12.23,12.01,11.69,3.43,3.18,3.06,2.87,2.65
江苏省,30.58,29.85,29.38,28.60,28.19,27.41,26.55,25.63,24.70,23.75,22.76,21.50,19.55,18.08,15.29,18.91,17.26
浙江省,17.94,17.23,16.74,15.92,15.43,13.80,13.26,12.79,12.27,10.52,7.95,7.44,6.96,6.33,5.78,5.69,4.80
安徽省,11.95,11.43,10.75,10.24,9.86,9.38,8.95,8.39,7.96,7.60,7.15,6.73,5.92,5.91,6.30,4.19,3.81
福建省,7.53,7.39,7.21,6.98,6.72,6.45,6.04,5.76,5.45,5.08,4.79,4.13,3.85,2.88,2.63,2.72,2.45
江西省,7.71,7.19,6.97,6.37,5.68,5.41,5.08,4.92,4.69,4.51,4.23,3.76,3.24,3.11,2.45,2.52,2.34
山东省,26.30,25.23,24.34,23.57,22.58,21.35,20.52,19.36,17.63,16.56,15.62,14.70,13.53,12.56,10.93,10.53,9.27
河南省,12.21,11.53,10.71,10.12,9.54,9.00,8.57,8.08,7.70,6.96,6.68,6.29,6.00,5.32,4.71,4.30,3.59
湖北省,10.58,9.69,9.31,8.67,8.22,8.03,7.55,7.16,6.88,6.21,5.79,5.49,5.22,4.40,4.16,5.62,5.53
湖南省,8.10,7.44,7.24,6.77,6.15,5.94,5.73,5.35,5.18,4.96,4.60,4.29,4.18,3.97,3.53,4.07,3.61
广东省,52.55,50.24,48.54,45.58,45.27,43.84,42.19,41.20,40.17,41.06,42.04,40.16,37.70,27.47,21.85,33.30,27.37
广西壮族自治区,7.47,7.24,9.21,8.88,8.45,8.24,7.24,6.99,6.70,6.45,6.02,5.78,5.55,5.33,5.13,2.97,2.86
海南省,1.77,1.77,1.74,1.53,1.53,1.49,1.47,1.44,5.07,4.98,4.90,4.89,4.88,4.83,0.67,0.67,0.58
重庆市,7.07,6.77,6.48,6.16,5.98,5.59,5.25,4.81,4.72,4.39,3.77,3.25,2.85,2.42,1.78,1.59,1.43
四川省,13.05,12.42,11.35,10.75,10.06,8.71,8.21,8.89,8.32,7.74,7.23,6.68,5.80,5.59,5.45,6.81,6.64
贵州省,5.68,5.44,5.16,4.74,4.08,3.67,3.57,3.40,3.29,3.05,2.87,2.78,2.75,2.72,2.68,2.80,2.69
云南省,5.13,4.86,4.64,4.52,4.31,3.94,3.73,3.49,3.53,3.19,2.81,2.24,1.84,1.65,1.32,1.67,1.17
西藏自治区,0.63,0.60,0.60,0.52,0.62,0.53,0.42,0.36,0.34,0.29,0.21,0.22,0.20,0.20,0.16,0.01,0.00
陕西省,6.59,5.96,7.13,6.92,5.87,5.61,3.64,3.39,3.10,2.82,2.61,2.34,2.22,2.15,1.89,1.50,1.39
甘肃省,3.03,2.92,2.72,2.69,2.63,2.36,2.23,2.12,1.85,1.63,1.53,1.47,1.41,1.26,0.92,1.15,1.04
青海省,0.84,0.73,0.67,0.64,0.62,0.57,0.53,0.48,0.40,0.39,0.34,0.33,0.31,0.30,0.27,0.24,0.21
宁夏回族自治区,2.69,2.62,2.51,2.64,2.51,2.41,2.32,2.19,1.98,1.84,1.74,1.45,1.45,1.21,0.84,0.77,0.66
新疆维吾尔自治区,8.13,7.69,7.29,6.89,6.48,6.08,5.70,5.36,4.95,4.41,3.77,3.64,3.42,3.26,1.80,2.25,2.23
数据来源：国家统计局
