数据库：分省年度数据
指标：人均粮食产量(公斤)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,13.94,13.35,15.79,18.93,24.29,28.98,29.97,45.95,55.66,61.18,60.54,68.72,72.79,62.29,70.00,61.91,47.59,40.30,58.66
天津市,164.63,143.05,134.55,136.12,128.92,120.42,119.23,123.01,118.18,122.95,127.08,130.73,130.48,134.62,133.99,132.23,120.65,118.20,137.05
河北省,509.14,493.69,490.96,510.91,507.95,486.49,485.01,490.37,473.90,463.45,438.71,430.35,429.94,418.66,404.48,380.44,365.30,353.64,362.64
山西省,407.69,365.73,372.07,367.04,375.81,359.41,381.22,376.19,363.52,341.96,316.40,279.29,304.06,298.27,304.46,292.38,319.43,290.21,281.93
内蒙古自治区,1521.01,1439.84,1403.63,1289.18,1297.27,1312.83,1244.20,1231.15,1102.11,1038.92,951.03,868.59,862.28,728.49,755.46,698.60,632.00,571.95,591.34
辽宁省,548.25,557.90,502.39,532.92,528.68,498.49,426.64,536.12,495.91,480.44,413.94,372.68,436.40,430.38,423.22,414.84,408.21,356.19,359.75
吉林省,1569.29,1437.66,1340.25,1524.40,1513.20,1443.81,1381.09,1368.23,1254.85,1176.05,1017.21,905.86,1060.18,894.18,1002.32,953.22,927.45,836.41,821.76
黑龙江省,2346.96,1994.31,1985.40,1953.17,1948.79,1992.36,1931.09,1839.90,1721.07,1620.60,1470.91,1251.83,1209.90,1015.03,1005.76,811.85,786.43,658.70,771.56
上海市,36.80,39.53,42.85,41.25,46.24,51.81,52.53,53.66,57.53,58.56,58.55,62.23,58.16,57.27,61.95,59.44,61.56,59.20,80.56
江苏省,440.11,459.81,455.26,450.56,443.50,451.14,443.18,433.93,433.85,425.81,419.03,418.81,412.30,406.04,412.12,380.35,381.31,334.33,394.55
浙江省,94.32,102.21,105.17,103.16,101.51,105.73,109.69,109.55,118.50,124.00,127.99,137.89,141.13,141.48,155.80,166.83,177.65,170.14,203.52
安徽省,659.05,638.95,637.13,645.68,642.10,666.92,632.47,589.26,592.66,555.81,530.73,516.69,512.67,486.42,466.67,426.98,426.22,347.47,436.60
福建省,121.07,124.82,126.99,125.15,123.76,130.82,137.32,142.16,146.58,155.44,158.89,166.36,169.07,171.09,178.46,202.92,210.44,205.11,221.03
江西省,479.00,463.29,472.64,482.25,487.97,490.91,489.94,483.57,476.12,468.94,447.37,459.52,450.60,439.28,438.48,408.76,389.54,342.19,368.56
山东省,537.40,532.57,530.55,538.70,538.78,524.86,516.17,502.98,498.48,489.09,472.53,470.45,463.58,440.44,441.12,424.86,384.23,377.39,363.37
河南省,688.02,695.81,693.90,683.49,683.57,684.10,650.81,640.18,627.69,610.22,590.92,582.24,575.42,560.25,544.67,489.95,439.54,370.28,439.27
湖北省,467.35,460.15,480.49,482.93,476.50,499.61,457.73,446.75,430.81,419.20,402.56,400.85,376.07,375.54,368.17,382.47,349.50,320.45,342.23
湖南省,453.91,430.60,439.41,449.29,448.70,457.72,458.59,448.54,462.69,453.23,444.14,458.13,443.22,425.05,419.04,424.70,395.19,367.57,378.28
广东省,100.95,108.52,106.02,109.04,110.24,112.33,115.12,113.24,122.82,121.81,121.45,126.05,123.77,132.66,134.33,152.18,170.99,180.92,189.10
广西壮族自治区,273.98,269.47,279.85,281.91,294.59,300.14,306.69,308.63,305.85,298.70,289.90,296.28,287.01,292.35,304.42,320.12,286.99,302.74,309.43
海南省,144.96,154.30,158.19,149.88,159.85,170.34,179.88,189.17,201.88,195.59,192.21,205.19,207.04,207.75,194.59,185.34,233.47,253.59,235.87
重庆市,338.10,345.37,349.47,352.73,355.55,349.88,350.24,356.77,361.71,366.70,376.26,380.41,393.34,378.40,288.41,418.77,366.12,348.60,348.94
四川省,421.89,418.58,419.84,421.26,421.47,415.39,409.26,412.29,405.71,403.79,392.22,382.33,382.54,372.21,349.15,392.20,361.16,351.58,361.85
贵州省,274.50,291.08,295.18,348.27,356.88,344.01,335.49,307.97,334.16,265.66,307.68,313.58,305.10,287.58,277.28,309.80,295.76,286.57,270.86
云南省,401.83,386.07,386.37,385.17,381.60,378.87,381.86,376.07,363.26,351.62,327.40,335.35,332.11,323.14,326.34,341.46,343.44,337.83,330.56
西藏自治区,283.01,299.30,306.60,318.96,317.17,313.49,311.02,310.10,310.61,310.88,306.04,279.67,327.13,327.04,331.08,338.20,352.83,359.74,370.95
陕西省,322.78,318.10,318.48,312.29,332.36,318.36,313.98,322.08,335.09,322.92,317.87,308.68,301.71,289.45,279.52,281.22,281.29,263.04,274.28
甘肃省,479.93,439.98,437.55,422.42,428.98,444.84,442.83,433.13,426.29,393.86,370.98,349.85,341.41,314.66,310.79,323.59,308.60,303.83,302.92
青海省,181.61,174.30,171.62,172.20,177.44,177.69,182.26,179.92,178.29,182.91,182.53,185.20,184.71,162.14,182.73,172.20,164.93,163.40,173.64
宁夏回族自治区,529.19,539.71,573.11,545.40,551.98,560.30,572.32,573.85,583.16,564.21,566.61,548.05,536.19,532.93,537.33,504.55,497.29,469.13,532.22
新疆维吾尔自治区,615.03,609.61,609.99,613.15,652.51,813.79,767.14,768.04,683.19,649.40,627.24,602.45,480.47,411.20,441.56,437.83,408.78,403.99,441.98
注：人口数字为年平均人口数。
数据来源：国家统计局
