数据库：分省年度数据
指标：人均水资源量(立方米/人)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,117.8,114.2,164.2,137.2,161.6,124.0,95.1,118.6,193.2
天津市,,96.0,51.9,112.9,83.4,121.6,83.6,76.1,101.5,238.0
河北省,,196.2,149.9,217.7,184.5,279.7,182.5,144.3,240.6,324.2
山西省,,329.8,261.3,328.6,352.7,365.1,257.1,305.1,349.6,295.0
内蒙古自治区,,2091.7,1765.5,1823.0,1227.5,1695.5,2141.2,2149.9,3848.6,2052.7
辽宁省,,930.8,587.8,539.4,426.0,757.1,408.1,332.4,1055.2,1247.8
吉林省,,2418.8,1876.2,1775.3,1447.3,1782.0,1203.5,1112.2,2208.2,1674.5
黑龙江省,,4419.2,4017.5,2675.1,1957.1,2217.1,2129.8,2463.1,3702.1,2194.6
上海市,,235.9,199.1,159.9,140.6,252.3,264.8,194.8,116.9,143.4
江苏省,,641.3,287.5,470.6,490.3,928.6,730.5,502.3,357.6,472.0
浙江省,,1598.7,2281.0,1520.4,1592.1,2378.1,2547.5,2057.3,1697.2,2641.3
安徽省,,2099.5,850.9,1328.9,1260.8,2018.2,1495.3,1285.4,974.5,1172.6
福建省,,1832.5,3446.8,1982.9,2711.9,5468.7,3468.7,3218.0,3062.7,4047.8
江西省,,3731.3,4405.4,2479.2,3592.5,4850.6,4394.5,3600.6,3155.3,4836.0
山东省,,370.3,194.1,342.4,226.1,222.6,171.5,152.1,300.4,283.9
河南省,,411.9,175.2,354.6,443.2,354.8,303.7,300.7,226.4,282.6
湖北省,,3006.7,1036.3,1450.2,2118.9,2552.6,1740.9,1574.3,1364.9,1411.0
湖南省,,3189.9,3037.3,1952.0,2795.5,3229.1,2839.1,2680.1,2373.6,3005.7
广东省,,1294.9,1808.9,1683.4,1611.9,2250.6,1792.4,1608.4,2131.2,1921.0
广西壮族自治区,,4229.2,4258.7,3732.5,4912.1,4522.7,5096.5,4203.3,4376.8,4476.0
海南省,,2626.8,2685.5,4495.7,4165.7,5360.0,2184.9,4266.0,5636.8,4130.8
重庆市,,2397.7,1600.1,1697.2,2142.9,1994.7,1518.7,2155.9,1603.9,1626.5
四川省,,3871.9,3288.9,3548.2,2978.9,2843.3,2717.2,3148.5,3052.9,3587.2
贵州省,,3448.2,3092.9,2726.2,2947.4,3009.5,3278.7,3461.1,2174.2,2801.8
云南省,,3813.5,3166.4,4582.3,4602.4,4391.7,3959.3,3673.3,3652.2,3637.9
西藏自治区,,126473.2,129407.2,136804.7,142311.3,141746.6,120121.0,140200.0,142530.6,137378.1
陕西省,,1062.4,1279.8,964.8,1174.5,713.9,881.1,932.8,941.3,1041.9
甘肃省,,1628.7,1233.5,1266.6,912.5,646.4,635.0,767.0,1042.3,1038.4
青海省,,17107.4,15182.5,16018.3,13188.9,10376.0,10057.6,13675.5,11216.6,15687.2
宁夏回族自治区,,153.0,182.2,214.6,159.2,143.0,138.4,153.0,175.3,168.0
新疆维吾尔自治区,,3111.3,3473.5,3482.6,4206.4,4596.0,3994.2,3186.9,4251.9,4055.5
数据来源：国家统计局
