数据库：分省年度数据
指标：硫铁矿储量(万吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,,,,,
天津市,,,,,,,,,,
河北省,,,,,,1083.61,1083.60,1089.31,1142.84,1136.62
山西省,,,,,,1058.11,1058.10,1058.11,1058.11,1058.11
内蒙古自治区,,,,,,12377.14,12428.20,14865.81,16039.32,16325.13
辽宁省,,,,,,1261.74,1262.30,1240.03,1272.11,1879.12
吉林省,,,,,,727.20,730.70,730.70,730.70,730.70
黑龙江省,,,,,,48.20,48.20,48.20,48.20,48.20
上海市,,,,,,,,,,
江苏省,,,,,,508.77,536.70,566.97,608.84,335.95
浙江省,,,,,,405.08,434.10,461.66,490.28,519.85
安徽省,,,,,,14497.38,14604.30,14848.78,14381.25,14925.81
福建省,,,,,,1018.67,1034.90,1160.20,1106.97,1120.36
江西省,,,,,,8071.20,13655.30,13996.05,14886.00,15280.38
山东省,,,,,,3.18,3.20,3.18,3.18,3.18
河南省,,,,,,5953.72,5961.50,5960.77,5991.87,6021.10
湖北省,,,,,,4717.38,4717.40,4717.38,4722.08,3933.81
湖南省,,,,,,670.05,713.60,728.04,788.52,805.22
广东省,,,,,,14819.44,12591.50,16013.29,16214.60,16226.41
广西壮族自治区,,,,,,6002.52,6025.00,6141.93,837.06,837.06
海南省,,,,,,,,,,
重庆市,,,,,,1456.70,1453.10,1453.10,1453.10,1453.10
四川省,,,,,,38272.70,38052.90,37956.92,37726.98,40990.95
贵州省,,,,,,6043.09,5893.60,5721.90,5594.47,5532.66
云南省,,,,,,4878.86,4878.90,4878.86,4878.86,4944.86
西藏自治区,,,,,,,,,,
陕西省,,,,,,108.30,108.30,108.30,108.30,108.30
甘肃省,,,,,,1.00,1.00,1.00,1.00,1.00
青海省,,,,,,50.08,50.10,50.08,50.08,50.07
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,3774.87,3774.90,59.36,59.36,17.44
注：数据由国土资源部提供。
数据来源：国家统计局
