数据库：分省年度数据
指标：受灾面积(千公顷)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,3.0,4.7,6.7,34.7,6.2,53.3,26.9,71.2,56.1,3.1,14.6,30.8,75.6,73.7,68.7,27.7,59.0,194.9
天津市,,14.4,0.0,24.0,,10.3,7.8,133.6,8.1,33.3,58.5,79.7,105.9,60.6,121.7,74.5,142.5,235.0
河北省,315.0,557.0,718.0,1447.2,1798.8,1435.7,1106.5,1329.0,1383.3,1527.4,2627.5,1151.5,2337.6,2264.3,1126.6,1756.8,2998.0,2995.0
山西省,1474.0,830.8,821.3,503.7,1142.6,1173.5,1592.4,931.0,1015.0,1395.7,1786.5,2163.5,2403.5,1040.3,1764.9,947.4,828.8,1602.9
内蒙古自治区,1454.0,2629.8,3917.3,3629.9,2700.8,1878.3,1733.1,2060.7,2036.6,2032.7,4770.4,2496.7,3399.5,3560.4,1814.1,3216.0,3227.0,2387.5
辽宁省,325.0,1467.3,949.6,581.9,1482.8,1931.4,450.5,355.4,450.2,755.6,2171.8,538.9,2392.8,1116.6,987.1,1249.9,1169.0,1592.0
吉林省,536.0,1319.7,983.1,748.2,846.2,689.3,623.2,632.8,616.4,896.1,2670.6,579.7,3016.0,1051.1,1023.1,2549.5,1905.0,1426.0
黑龙江省,3541.0,4155.0,1550.5,4223.7,1175.3,810.0,2734.1,2429.4,1536.8,1432.2,7393.7,2367.1,6652.6,3330.0,2101.5,3790.1,6659.0,4149.0
上海市,9.0,7.3,0.0,3.1,12.3,0.0,28.0,14.7,24.3,0.0,16.3,21.0,20.8,,84.7,5.8,1.1,63.0
江苏省,224.0,380.0,90.7,301.1,615.5,554.1,487.1,697.5,1032.1,648.4,1202.6,497.0,1642.0,1713.6,1682.9,956.1,2863.7,771.4
浙江省,354.0,168.6,107.3,456.0,393.2,204.0,1326.9,554.2,431.1,282.5,463.3,1074.9,900.9,379.3,1180.7,795.9,612.8,763.0
安徽省,958.0,863.2,399.8,1341.2,966.7,641.3,1769.7,1152.5,1317.2,1751.6,2101.3,1277.1,1989.7,1471.9,2881.8,714.9,3747.4,1159.0
福建省,123.0,78.7,57.5,386.7,203.3,102.6,276.8,159.3,133.1,605.1,265.7,230.6,328.8,938.8,946.2,671.3,1097.0,894.0
江西省,1201.0,530.7,441.4,786.1,455.3,487.1,1049.1,673.5,1075.3,2075.2,1351.7,2376.2,1320.0,1255.5,1425.6,1121.8,1823.0,1040.0
山东省,1341.0,983.8,856.9,552.2,1379.0,886.1,1461.7,1822.6,2117.2,2582.3,2341.9,672.3,1865.4,1880.1,1779.8,2119.1,2632.0,4941.9
河南省,970.0,1167.7,1247.0,519.3,225.1,1905.2,1179.9,1388.8,1477.6,1568.1,2987.4,966.7,2116.0,1585.0,2111.8,2234.4,4965.0,2807.0
湖北省,1430.0,1076.1,1437.1,2741.2,1115.6,1058.8,2487.9,1718.7,2580.0,2465.5,1827.1,4032.8,2789.6,2164.7,2580.3,1550.3,3099.0,2674.0
湖南省,998.0,625.6,1217.7,1375.5,765.1,1136.1,3047.2,1233.9,2374.8,2841.3,1824.9,4473.7,2178.5,2235.1,2074.4,1129.4,2741.0,2806.0
广东省,145.0,547.8,282.6,630.7,846.3,842.4,1134.5,417.2,501.7,724.3,643.3,1599.7,746.2,1271.5,869.1,1070.9,1194.3,1978.0
广西壮族自治区,248.0,150.0,196.0,300.9,545.7,1212.7,694.4,575.0,1437.9,1664.5,1109.6,2305.7,1125.7,1545.9,1524.4,1995.2,1831.0,1170.0
海南省,4.0,32.4,10.8,509.3,41.2,309.4,164.7,60.5,516.6,306.2,119.9,365.9,287.8,47.1,728.2,158.1,277.0,289.3
重庆市,78.0,70.9,125.9,190.4,70.8,280.9,455.3,405.4,816.0,574.5,495.1,662.0,863.2,1478.8,773.1,909.8,959.0,1466.0
四川省,324.0,484.0,215.7,410.6,562.7,919.3,1602.9,943.9,1528.2,2324.0,1598.8,1411.8,2490.4,2930.4,1593.7,1475.8,2743.0,2564.2
贵州省,141.0,291.7,267.3,330.7,224.4,626.7,1522.4,542.1,2570.2,1681.0,779.9,1759.7,524.2,1018.0,757.9,698.4,1060.1,1159.0
云南省,1569.0,274.8,406.6,868.5,1028.3,882.0,1231.1,1578.3,1989.3,3215.0,1667.5,1459.7,1448.1,1534.9,2585.2,1132.5,1493.0,1446.0
西藏自治区,6.0,9.7,12.8,14.5,11.8,12.9,22.1,14.4,17.8,51.3,53.0,53.9,28.4,24.7,43.2,43.2,4.0,70.0
陕西省,645.0,382.4,651.1,632.8,744.3,772.2,813.4,508.9,762.5,1121.5,1220.7,1046.8,1945.8,1398.6,1748.1,1121.4,2136.0,1877.0
甘肃省,174.0,764.2,773.1,1343.3,1011.2,1618.4,1282.9,1016.5,1266.6,1304.1,1880.8,1334.1,2283.7,2039.3,1332.9,2146.7,1051.0,1216.0
青海省,70.0,51.9,272.4,134.7,220.5,169.8,171.2,154.9,285.5,111.3,159.6,122.3,152.4,323.6,106.9,156.6,174.0,337.0
宁夏回族自治区,29.0,148.1,174.4,390.4,218.8,438.3,301.3,260.3,434.7,145.4,365.5,666.6,611.3,622.3,482.8,544.9,245.4,352.0
新疆维吾尔自治区,573.0,746.0,287.5,808.1,960.0,1848.6,564.8,1125.8,678.3,1306.7,1244.3,2171.7,950.1,735.3,516.6,741.8,767.7,520.0
数据来源：国家统计局
