数据库：分省年度数据
指标：猪出栏数量(万头)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,169.44,242.07,275.34,284.42,305.76,314.39,306.11,312.20,311.93,314.04,292.69,288.56,281.51,448.72,460.52,466.97,483.20
天津市,278.56,297.22,355.43,360.38,370.45,367.78,362.49,343.47,350.68,323.74,297.94,260.69,280.33,481.45,446.61,412.94,362.40
河北省,3709.59,3785.30,3742.57,3837.12,3897.78,3666.39,3576.73,3378.12,3335.78,3420.06,3286.88,2989.82,3246.70,4510.58,4160.14,3875.10,3541.10
山西省,814.58,822.80,880.24,906.39,952.84,880.34,797.63,728.68,729.65,696.36,603.91,577.46,530.51,627.12,610.52,610.24,592.00
内蒙古自治区,895.99,918.96,644.95,898.45,930.08,931.94,940.40,905.10,913.92,883.01,833.12,775.90,917.96,957.72,875.84,791.91,838.50
辽宁省,2495.80,2627.20,2151.85,2249.92,2433.99,2434.48,2430.77,2408.65,2483.81,2451.22,2398.81,2222.19,2245.79,2301.86,2102.16,1712.80,1539.80
吉林省,1570.42,1691.71,1570.08,1618.64,1679.06,1633.44,1595.42,1457.52,1436.69,1362.13,1263.97,1168.48,1302.28,1272.38,1159.09,1127.08,1008.60
黑龙江省,1964.37,2090.45,2026.29,2027.63,2070.81,1945.36,1867.43,1714.53,1663.13,1555.80,1369.47,1244.63,1330.80,1392.24,1295.53,1174.20,1131.30
上海市,148.86,189.67,238.63,275.69,297.15,292.42,279.28,273.16,272.92,276.68,265.16,212.03,206.12,280.00,106.53,410.00,450.00
江苏省,2680.90,2805.50,2787.37,2921.86,3021.76,3004.50,3004.54,2847.79,2822.92,2730.62,2593.25,2425.94,2791.40,2974.88,2988.63,3009.06,2955.70
浙江省,911.62,1022.42,1157.64,1315.63,1724.53,1895.10,1934.41,1929.91,1922.17,1894.00,1888.98,1658.86,1855.54,1867.07,1893.08,1792.01,1719.20
安徽省,2837.39,2828.90,2760.44,2872.20,2990.36,2888.19,2857.10,2666.37,2737.24,2647.73,2506.89,2353.50,2300.43,2629.49,2531.31,2557.17,2453.90
福建省,1421.34,1606.10,1988.59,1945.47,2234.93,2315.21,2256.85,2096.87,2080.38,2008.31,1894.20,1669.94,1866.14,1878.99,1725.90,1603.13,1488.30
江西省,3124.00,3180.46,3130.31,3268.11,3348.98,3169.58,3066.62,2897.42,2857.16,2721.32,2541.33,2383.58,2271.57,2237.80,2051.05,1858.80,1957.00
山东省,5082.26,5180.69,5093.23,5156.44,5245.73,5043.03,4800.79,4387.82,4425.46,4245.45,3972.95,3680.17,4389.90,4585.69,4330.24,4016.16,3803.20
河南省,6402.38,6220.00,5983.13,6151.36,6291.98,5981.88,5699.01,5351.63,5382.80,5138.09,4844.43,4487.20,5254.36,5568.00,5189.00,4850.00,4498.00
湖北省,4363.50,4448.02,4442.25,4566.00,4659.50,4513.10,4309.39,3970.32,3905.44,3792.49,3533.79,3147.45,3100.59,3428.40,3126.15,3000.70,2752.00
湖南省,5993.70,6116.30,5990.82,6141.75,6278.99,5951.00,5920.35,5608.72,5750.44,5528.13,5165.21,4822.35,5126.90,6176.33,6088.69,5905.80,5653.10
广东省,3757.40,3712.00,3850.61,3959.62,4062.02,3978.22,3934.94,3825.83,3863.23,3695.54,3528.23,3241.77,3444.68,3616.74,3308.95,3269.71,3162.20
广西壮族自治区,3465.78,3355.06,3456.49,3581.73,3668.56,3585.82,3448.80,3279.89,3298.39,3169.32,2965.91,2781.83,2957.20,2831.87,2462.45,2555.14,2656.50
海南省,561.64,547.82,579.68,555.71,588.53,610.50,580.89,537.43,505.66,482.45,445.24,401.68,369.87,427.49,392.78,346.27,273.20
重庆市,1758.22,1751.11,1767.74,1857.09,1912.11,1898.60,1877.56,1877.63,1895.65,1916.65,1843.67,1757.17,1732.75,1993.33,1900.22,1818.39,1749.00
四川省,6638.31,6579.10,6907.82,7236.54,7445.00,7314.10,7170.70,7000.41,7174.95,6914.93,6429.19,6014.61,6896.50,7105.02,6489.80,6236.87,6202.60
贵州省,1869.87,1825.15,1925.38,1947.03,1983.31,1951.67,1831.25,1767.59,1750.70,1639.87,1589.51,1458.49,1574.07,1453.64,1328.21,1398.15,1285.00
云南省,3850.51,3795.13,3771.70,3810.43,3818.36,3589.88,3397.25,3132.46,3095.09,2919.33,2761.87,2564.17,2755.24,2733.58,2585.92,2384.54,2259.90
西藏自治区,17.94,19.06,17.81,17.42,17.26,17.86,19.32,19.85,20.45,19.67,15.60,15.58,18.31,18.85,15.26,13.94,14.40
陕西省,1150.75,1141.01,1275.13,1330.41,1344.09,1281.09,1204.46,1123.54,1161.21,1099.10,1057.68,1003.12,1061.89,930.40,932.40,816.40,770.10
甘肃省,691.60,682.73,582.37,613.30,645.48,631.41,617.93,590.14,603.85,596.64,579.56,570.76,653.13,700.12,669.42,675.87,639.00
青海省,116.47,110.63,105.17,114.04,119.79,118.42,116.20,115.53,117.69,124.10,115.83,102.41,111.27,121.75,114.45,105.35,104.60
宁夏回族自治区,112.45,113.75,110.27,102.05,109.87,100.97,106.22,99.68,120.24,127.22,118.49,115.30,111.86,163.08,155.66,165.09,138.20
新疆维吾尔自治区,526.70,495.77,504.60,492.76,502.44,461.29,413.64,381.78,343.13,296.93,275.14,245.23,223.40,384.00,304.19,240.70,202.30
注：2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
