数据库：分省年度数据
指标：锰矿储量(万吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,,,,,
天津市,,,,,,,,,,
河北省,,,,,,7.05,7.10,7.05,7.05,7.05
山西省,,,,,,20.09,20.10,12.90,12.90,12.90
内蒙古自治区,,,,,,567.55,567.60,567.55,567.74,567.88
辽宁省,,,,,,1410.60,1410.60,1386.50,1402.94,1386.46
吉林省,,,,,,0.40,0.40,0.40,0.40,0.40
黑龙江省,,,,,,,,,,
上海市,,,,,,,,,,
江苏省,,,,,,,,,,
浙江省,,,,,,,,,,
安徽省,,,,,,4.06,4.10,4.06,7.37,7.77
福建省,,,,,,111.78,118.90,132.04,135.13,133.41
江西省,,,,,,,,,,
山东省,,,,,,,,,,
河南省,,,,,,3.62,3.60,0.82,0.82,0.82
湖北省,,,,,,607.45,649.00,657.44,749.57,721.27
湖南省,,,,,,1957.92,2056.00,1913.92,1908.37,1958.37
广东省,,,,,,76.25,75.20,75.23,75.23,75.23
广西壮族自治区,,,,,,17388.59,14019.50,8486.60,8441.54,8590.40
海南省,,,,,,,,,,
重庆市,,,,,,1380.14,1414.80,1393.33,1712.64,1678.45
四川省,,,,,,206.34,131.50,100.04,100.04,97.74
贵州省,,,,,,4886.87,4841.10,4417.10,4247.77,3559.77
云南省,,,,,,1196.81,1196.80,1152.27,1074.79,1029.47
西藏自治区,,,,,,,,,,
陕西省,,,,,,288.11,288.40,289.02,277.27,281.82
甘肃省,,,,,,357.52,259.00,259.00,259.00,259.04
青海省,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,562.43,562.40,560.17,567.17,569.93
注：数据由国土资源部提供。
数据来源：国家统计局
