数据库：分省年度数据
指标：粮食单位面积产量(公斤/公顷)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,6136.66,6152.22,6167.59,5996.57,5320.36,6049.04,5868.40,5815.69,5176.93,5513.69,5542.86,5168.26,4971.76,4939.13,4542.69,4105.70,4869.82
天津市,5987.57,6040.74,5535.98,5238.78,5140.05,5313.15,5065.19,5251.76,5156.70,5122.36,5088.78,5046.23,4990.68,4779.95,4658.73,4621.85,4427.81
河北省,5659.95,5750.90,5570.27,5319.16,5343.93,5425.60,5253.03,5155.14,4845.29,4776.37,4829.88,4671.97,4433.56,4164.23,4131.10,4017.17,3756.33
山西省,4400.28,4260.08,4277.04,4035.26,4259.59,4196.98,4007.32,3759.74,3449.98,3064.31,3382.56,3377.38,3615.96,3223.90,3630.30,3383.88,3073.85
内蒙古自治区,5233.23,4799.56,4796.54,5003.95,4871.57,4910.35,4473.86,4304.06,4009.99,3771.83,3967.48,3505.12,3659.96,3800.43,3600.25,3358.61,3237.23
辽宁省,6292.84,6721.71,6587.83,6065.08,5382.26,6896.33,6474.28,6435.48,5562.86,5125.01,6169.64,5880.96,5816.06,5720.18,5917.36,5461.74,5308.22
吉林省,6487.36,7492.83,7489.01,7181.12,7021.87,7332.95,7053.84,6780.34,5967.20,5436.14,6358.37,5450.66,6433.93,6010.50,5820.86,5629.65,5485.44
黑龙江省,5281.07,5235.41,5221.96,5332.03,5300.48,5196.92,4994.31,4841.89,4526.17,3950.61,4032.81,3471.27,3651.53,3574.24,3548.12,3095.99,3547.38
上海市,7987.97,7494.48,7053.26,6916.74,6812.17,6753.14,6533.06,6537.18,6567.89,6281.59,6636.39,6436.64,6725.48,6344.69,6871.16,6657.45,6949.34
江苏省,6684.31,6532.66,6344.73,6450.75,6385.16,6284.35,6286.60,6204.02,6114.83,6118.28,6023.84,6011.49,6057.82,5773.71,5925.24,5305.00,5953.92
浙江省,6140.41,5936.77,5937.25,5900.54,6002.56,5912.05,6214.51,6319.80,6152.43,6177.24,6151.23,5913.81,6140.56,5392.54,5740.00,5556.78,5679.40
安徽省,5477.13,5490.06,5383.55,5600.04,5332.36,5026.37,5069.50,4740.38,4616.90,4567.36,4680.53,4508.48,4428.89,4063.86,4345.49,3597.09,4538.84
福建省,5981.66,5846.63,5730.78,5720.08,5729.26,5665.72,5607.00,5582.30,5447.89,5475.21,5427.27,5306.31,5158.38,4962.08,4968.12,4847.87,4681.63
江西省,5886.87,5867.79,5868.84,5860.18,5852.16,5780.71,5711.66,5656.85,5396.68,5575.26,5485.31,5407.31,5346.63,5105.38,4964.08,4753.34,4860.51
山东省,6329.10,6355.92,6260.51,6129.51,6086.60,6098.52,6213.66,6172.40,6043.11,6087.78,6085.79,5903.14,5847.83,5836.62,5693.84,5355.14,4763.31
河南省,6096.52,5977.25,5791.68,5815.24,5604.03,5631.07,5652.73,5597.12,5566.79,5567.77,5546.19,5512.84,5406.44,5005.78,4749.13,4000.15,4690.73
湖北省,5858.19,5864.69,5806.21,6092.22,5878.35,5855.66,5786.79,5743.63,5571.51,5625.02,5512.91,5304.99,5379.18,5544.91,5657.09,5399.52,5271.97
湖南省,6366.81,6173.19,6091.62,6122.69,6078.09,5967.16,6154.17,6049.25,5944.00,6067.36,6125.78,5944.15,5839.31,5535.90,5553.10,5392.59,5376.17
广东省,5548.43,5570.09,5529.56,5524.38,5512.89,5305.38,5557.58,5429.15,5234.61,5203.25,4988.07,5189.57,5036.84,5006.17,4982.61,5160.36,5141.30
广西壮族自治区,4899.15,4803.59,4898.04,4857.19,4928.00,4877.74,4789.17,4586.32,4567.92,4738.17,4671.42,4670.29,4556.30,4254.05,3982.97,4222.20,4180.04
海南省,5142.08,4889.31,5002.92,4990.09,4824.13,4611.92,4600.41,4415.66,4162.41,4385.79,4375.14,4412.33,4270.98,3610.62,4029.63,3776.63,3711.89
