数据库：分省年度数据
指标：钒矿储量(万吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,,,,,
天津市,,,,,,,10.00,,,
河北省,,,,,,6.66,,10.28,10.28,10.51
山西省,,,,,,,0.80,,,
内蒙古自治区,,,,,,0.77,,0.77,0.77,0.77
辽宁省,,,,,,,,,,
吉林省,,,,,,,,,,
黑龙江省,,,,,,,,,,
上海市,,,,,,,,,,
江苏省,,,,,,4.13,4.30,4.51,4.68,4.83
浙江省,,,,,,3.76,3.80,3.75,3.76,3.75
安徽省,,,,,,7.32,6.60,5.89,5.98,6.07
福建省,,,,,,,,,,
江西省,,,,,,6.52,6.50,6.52,6.52,6.52
山东省,,,,,,,,,,
河南省,,,,,,,,,,
湖北省,,,,,,29.94,29.90,29.22,29.37,25.16
湖南省,,,,,,2.90,2.90,2.90,2.90,2.86
广东省,,,,,,,,,,
广西壮族自治区,,,,,,171.49,171.50,171.49,171.49,171.49
海南省,,,,,,,,,,
重庆市,,,,,,,,,,
四川省,,,,,,598.55,553.80,567.27,576.19,547.03
贵州省,,,,,,,,,,
云南省,,,,,,0.07,0.10,0.07,0.07,0.07
西藏自治区,,,,,,,,,,
陕西省,,,,,,7.18,7.20,7.47,7.87,8.40
甘肃省,,,,,,112.32,89.90,89.87,89.87,89.87
青海省,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,0.16,0.20,0.16,0.16,0.16
注：数据由国土资源部提供。
数据来源：国家统计局
