数据库：分省年度数据
指标：农作物受灾面积(千公顷)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
北京市,1.6,2.5,4.7,6.7,34.7,6.2,53.3,26.9,71.2,56.1,3.1
天津市,17.2,,14.4,,24.0,,10.3,7.8,133.6,8.1,33.3
河北省,371.4,314.7,557.0,718.0,1447.2,1798.8,1435.7,1106.5,1329.0,1383.3,1527.4
山西省,1029.9,1473.7,830.8,821.3,503.7,1142.6,1173.5,1592.4,931.0,1015.0,1395.7
内蒙古自治区,2367.8,1453.5,2629.8,3917.3,3629.9,2700.8,1878.3,1733.1,2060.7,2036.6,2032.7
辽宁省,1321.5,324.7,1467.3,949.6,581.9,1482.8,1931.4,450.5,355.4,450.2,755.6
吉林省,1219.4,536.2,1319.7,983.1,748.2,846.2,689.3,623.2,632.8,616.4,896.1
黑龙江省,3178.5,3540.7,4155.0,1550.5,4223.7,1175.3,810.0,2734.1,2429.4,1536.8,1432.2
上海市,5.2,8.7,7.3,,3.1,12.3,,28.0,14.7,24.3,
江苏省,135.6,224.2,380.0,90.7,301.1,615.5,554.1,487.1,697.5,1032.1,648.4
浙江省,114.1,353.8,168.6,107.3,456.0,393.2,204.0,1326.9,554.2,431.1,282.5
安徽省,1237.9,958.0,863.2,399.8,1341.2,966.7,641.3,1769.7,1152.5,1317.2,1751.6
福建省,65.3,123.1,78.7,57.5,386.7,203.3,102.6,276.8,159.3,133.1,605.1
江西省,943.2,1200.7,530.7,441.4,786.1,455.3,487.1,1049.1,673.5,1075.3,2075.2
山东省,382.2,1340.7,983.8,856.9,552.2,1379.0,886.1,1461.7,1822.6,2117.2,2582.3
河南省,670.4,969.8,1167.7,1247.0,519.3,225.1,1905.2,1179.9,1388.8,1477.6,1568.1
湖北省,1632.2,1429.8,1076.1,1437.1,2741.2,1115.6,1058.8,2487.9,1718.7,2580.0,2465.5
湖南省,817.1,997.8,625.6,1217.7,1375.5,765.1,1136.1,3047.2,1233.9,2374.8,2841.3
广东省,84.1,144.7,547.8,282.6,630.7,846.3,842.4,1134.5,417.2,501.7,724.3
广西壮族自治区,279.3,247.8,150.0,196.0,301.0,545.7,1212.7,694.4,575.0,1437.9,1664.5
海南省,40.4,3.6,32.4,10.8,509.3,41.2,309.4,164.7,60.5,516.6,306.2
重庆市,158.5,78.3,70.9,125.9,190.4,70.8,280.9,455.3,405.4,816.0,574.5
四川省,632.5,323.8,484.0,215.7,410.6,562.7,919.3,1602.9,943.9,1528.2,2324.0
贵州省,233.4,141.0,291.7,267.3,330.7,224.4,626.7,1522.4,542.1,2570.2,1681.0
云南省,1225.0,1568.9,274.8,406.6,868.5,1028.3,882.0,1231.1,1578.3,1989.3,3215.0
西藏自治区,9.2,5.5,9.7,12.8,14.5,11.8,12.9,22.1,14.4,17.8,51.3
陕西省,532.3,645.1,382.4,651.1,632.9,744.3,772.2,813.4,508.9,762.5,1121.5
甘肃省,395.6,173.6,764.2,773.1,1343.3,1011.2,1618.4,1282.9,1016.5,1266.6,1304.1
青海省,43.1,70.3,51.9,272.4,134.7,220.5,169.8,171.2,154.9,285.5,111.3
宁夏回族自治区,175.4,29.1,148.1,174.4,390.4,218.8,438.3,301.3,260.3,434.7,145.4
新疆维吾尔自治区,638.3,572.6,746.0,287.5,808.0,960.0,1848.6,564.8,1125.8,420.6,917.4
数据来源：国家统计局
