数据库：分省年度数据
指标：第一产业法人单位数(个)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
北京市,6858,6648,43,9008,9042,9026,8949,60,3143,3111,3133
天津市,10684,11851,2,12322,9789,7189,5155,1,2939,2226,1803
河北省,106861,104011,55,89801,62411,46867,34108,38,17972,13822,11789
山西省,97184,89111,36,99121,87165,72135,61120,34,34118,27869,23340
内蒙古自治区,60334,53421,66,53418,36601,28738,22892,70,8928,7094,5740
辽宁省,50296,42302,29,30723,24894,21438,17652,48,14181,13025,11026
吉林省,26302,23952,31,19420,14254,13469,12662,34,6096,4998,4242
黑龙江省,53748,46100,150,47322,26644,21844,17734,183,6102,5157,4250
上海市,5200,5118,8,6375,6412,6364,6321,10,3769,3522,2815
江苏省,41935,39449,30,49738,38894,28699,22794,28,26265,20070,15525
浙江省,48515,45729,110,65778,62212,59534,57578,152,38278,28997,21038
安徽省,96705,91691,64,93247,57486,51418,37105,86,14004,9084,5435
福建省,54003,46383,19,50706,43405,37796,30243,72,19288,14630,11042
江西省,77906,64092,24,60700,48568,35623,26282,28,14632,8712,6774
山东省,127605,100155,17,114194,86617,52579,34118,27,29760,21777,16083
河南省,136573,122388,31,76844,46778,45044,34473,13,15825,15105,14315
湖北省,67468,57579,13,85154,64868,47658,35773,79,15682,10342,7392
湖南省,66175,56616,12,60149,33665,25373,15675,43,14280,9819,7708
广东省,40563,38120,54,37645,31784,27876,23233,87,15611,12030,9650
广西壮族自治区,81140,75901,75,77842,69902,56320,45757,129,23041,10310,4486
海南省,11535,11343,12,11912,10899,10167,9122,68,2964,2115,1588
重庆市,78978,74990,127,105628,93974,76130,55400,89,35984,23935,13097
四川省,93708,87763,38,71812,47437,35213,27765,47,21429,14322,11580
贵州省,108209,102105,15,97661,69148,44992,30956,17,10244,4422,3365
云南省,97737,85592,63,103864,72197,54454,31186,89,19175,14416,10133
西藏自治区,2533,2498,0,589,575,570,568,1,42,35,26
陕西省,55017,48581,20,50032,34114,26498,18798,17,10266,7982,6238
甘肃省,61979,53275,10,36953,33488,30093,23298,33,7064,4886,3425
青海省,18304,18227,18,21704,12481,10705,8954,20,2509,1773,1159
宁夏回族自治区,18974,17361,15,13909,11695,8796,6678,20,2489,1850,1390
新疆维吾尔自治区,24392,20421,37,17203,15365,12622,11065,192,4773,3650,2842
注：2013年和2018年第一产业法人单位数仅包括兼营第二、三产业的农业、林业、畜牧业、渔业法人单位数量。
数据来源：国家统计局
