数据库：分省年度数据
指标：水库数(座)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,86.00,86.00,87.00,87.00,87.00,87.00,86.00,86.00,82.00,82.00,82.00,82.00,82.00,82.00,98.00,83.00,85.00,85.00,85.00
天津市,28.00,28.00,27.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,29.00,87.00,143.00,143.00,143.00,141.00,137.00
河北省,1060.00,1060.00,1070.00,1070.00,1065.00,1082.00,1078.00,1078.00,1076.00,1077.00,1066.00,1068.00,1069.00,1063.00,1089.00,1099.00,1102.00,1102.00,1104.00
山西省,613.00,613.00,610.00,610.00,609.00,601.00,604.00,642.00,637.00,752.00,733.00,731.00,733.00,740.00,730.00,731.00,731.00,732.00,738.00
内蒙古自治区,601.00,601.00,607.00,617.00,615.00,613.00,589.00,586.00,503.00,502.00,497.00,494.00,492.00,490.00,488.00,487.00,474.00,466.00,463.00
辽宁省,783.00,783.00,795.00,797.00,798.00,803.00,833.00,911.00,905.00,922.00,951.00,952.00,952.00,955.00,918.00,967.00,942.00,951.00,917.00
吉林省,1580.00,1580.00,1621.00,1624.00,1623.00,1624.00,1626.00,1625.00,1649.00,1646.00,1643.00,1642.00,1631.00,1564.00,1315.00,1238.00,1315.00,1317.00,1314.00
黑龙江省,973.00,973.00,1031.00,1070.00,1130.00,1139.00,1139.00,1133.00,930.00,922.00,913.00,737.00,697.00,660.00,679.00,628.00,623.00,622.00,612.00
上海市,,,0.00,,,,,4.00,,,,,,,,,,,
江苏省,952.00,952.00,952.00,1077.00,1079.00,1079.00,1079.00,1077.00,917.00,907.00,910.00,909.00,906.00,903.00,906.00,917.00,917.00,919.00,916.00
浙江省,4278.00,4278.00,4308.00,4326.00,4339.00,4334.00,4336.00,4331.00,4250.00,4243.00,4217.00,4207.00,4202.00,4151.00,4105.00,3971.00,3995.00,3934.00,3910.00
安徽省,6080.00,6080.00,6063.00,5947.00,5932.00,5877.00,5833.00,5821.00,5325.00,4927.00,4819.00,4809.00,4797.00,4797.00,4816.00,4872.00,4868.00,4861.00,4856.00
福建省,3676.00,3676.00,3673.00,3666.00,3660.00,3683.00,3650.00,3662.00,3385.00,3355.00,3225.00,3120.00,2971.00,2946.00,2812.00,2681.00,2672.00,2690.00,2695.00
江西省,10685.00,10685.00,10809.00,10812.00,10798.00,10815.00,10806.00,10796.00,9830.00,9824.00,9809.00,9809.00,9800.00,9783.00,9697.00,9394.00,9401.00,9448.00,9577.00
山东省,5932.00,5932.00,6192.00,6431.00,6420.00,6418.00,6453.00,6418.00,6342.00,6291.00,6291.00,6283.00,6244.00,6243.00,5558.00,5555.00,5572.00,5555.00,5570.00
河南省,2510.00,2510.00,2654.00,2655.00,2650.00,2653.00,2662.00,2663.00,2472.00,2478.00,2352.00,2352.00,2344.00,2338.00,2340.00,2344.00,2345.00,2348.00,2347.00
