数据库：分省年度数据
指标：民用汽车拥有量(万辆)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,599.29,590.32,574.04,563.10,547.44,533.81,530.83,517.11,493.56,470.53,449.72,368.11,313.68,273.36,239.12,209.73,182.42,163.07,133.93
天津市,329.41,308.88,298.65,287.69,273.69,273.62,274.14,261.58,221.12,190.78,158.24,130.00,108.47,93.25,79.22,67.68,58.34,53.78,48.33
河北省,1747.28,1647.85,1529.98,1387.21,1245.89,1075.03,930.08,816.29,728.51,607.19,492.88,395.80,316.77,273.25,229.34,198.23,180.91,155.61,135.74
山西省,764.72,710.55,652.15,591.98,526.39,468.97,424.36,378.27,329.95,295.33,247.89,205.95,174.22,144.33,121.55,107.44,81.63,73.82,63.85
内蒙古自治区,616.85,576.74,531.91,480.22,418.53,373.61,342.14,306.87,266.08,233.15,187.80,150.06,121.07,99.77,83.79,65.82,60.18,49.85,42.73
辽宁省,931.56,861.09,796.37,727.08,659.41,582.50,520.04,457.05,414.88,356.75,296.32,242.07,194.98,171.36,159.22,134.87,116.27,103.54,88.68
吉林省,482.20,451.11,421.92,387.15,352.93,313.74,284.57,248.35,209.49,183.00,152.89,123.74,98.98,86.80,72.25,65.27,57.31,53.07,47.57
黑龙江省,555.33,516.11,477.41,435.32,394.19,351.75,322.78,289.81,259.87,231.10,194.79,160.17,126.21,108.10,94.00,85.90,74.16,76.17,60.28
上海市,442.34,413.82,393.37,360.96,322.87,282.23,255.03,234.91,212.66,194.75,175.51,147.11,132.12,119.70,107.04,95.16,83.51,71.90,62.30
江苏省,2038.04,1912.66,1776.57,1612.82,1427.91,1240.91,1095.45,944.35,802.20,675.18,550.80,436.81,349.51,296.31,240.80,192.25,161.19,131.77,104.50
浙江省,1773.38,1661.27,1532.95,1395.80,1257.35,1120.58,1012.05,901.99,773.56,656.80,542.05,431.73,352.84,301.61,248.36,202.92,162.34,135.82,107.83
安徽省,986.54,907.83,814.20,708.93,600.81,498.70,422.46,358.74,303.13,258.62,209.81,167.36,134.89,113.42,94.61,80.50,68.28,64.73,54.66
福建省,730.47,680.33,622.82,557.01,493.64,435.37,386.60,332.97,283.92,239.93,197.08,159.34,130.76,110.87,89.57,69.79,58.01,52.08,43.63
江西省,656.04,601.21,537.55,465.90,399.29,338.94,287.68,246.84,201.64,171.55,137.43,107.08,82.97,69.90,58.07,48.36,40.48,35.56,30.31
山东省,2537.10,2333.73,2128.29,1929.55,1723.34,1510.81,1350.25,1199.71,1027.16,851.12,705.89,553.51,426.31,359.59,299.23,246.96,211.43,175.74,150.53
河南省,1751.58,1612.09,1449.68,1274.45,1104.47,952.01,969.28,700.69,581.95,501.28,399.73,316.07,249.04,210.32,183.38,152.17,130.97,119.75,105.82
湖北省,931.98,861.06,772.40,679.81,588.69,498.63,422.23,354.40,293.64,249.49,207.49,168.32,136.86,115.46,98.74,86.24,77.83,72.86,62.33
湖南省,952.19,870.59,780.96,683.19,595.80,507.88,434.48,366.74,308.14,258.22,211.06,167.59,134.04,109.83,91.76,78.34,71.78,65.08,57.67
广东省,2500.41,2326.38,2116.28,1894.22,1674.64,1471.40,1331.84,1177.37,1037.42,910.93,782.26,658.90,573.46,505.29,428.95,372.96,305.40,257.96,230.89
广西壮族自治区,750.44,673.94,588.42,502.13,424.90,363.82,316.53,276.29,227.44,187.75,152.06,119.85,94.89,79.64,66.14,59.14,49.07,43.44,40.14
海南省,149.05,137.24,126.90,113.21,96.32,83.29,75.11,64.80,55.46,47.81,39.24,30.64,25.81,22.11,19.23,16.40,14.55,12.58,10.94
重庆市,503.83,461.60,419.10,370.47,327.47,278.61,237.04,192.77,159.36,129.68,114.30,90.89,73.64,63.63,56.07,46.93,34.84,34.25,29.07
四川省,1289.94,1196.95,1098.17,990.30,880.80,767.13,666.92,573.03,493.22,422.17,354.97,284.69,219.05,183.62,157.23,138.00,126.78,113.87,98.97
贵州省,578.26,532.15,478.98,414.01,348.70,292.61,244.72,201.00,164.36,136.37,115.76,91.43,71.92,60.05,49.36,46.77,34.09,32.46,29.29
云南省,802.15,742.09,677.50,622.66,552.05,484.23,429.74,374.01,328.53,280.04,233.91,189.10,153.57,133.23,114.72,103.60,88.86,77.09,69.94
西藏自治区,61.54,55.88,51.45,40.88,37.48,33.18,29.47,26.72,22.77,19.92,16.62,14.85,12.86,11.61,9.82,7.07,8.24,6.06,5.87
陕西省,734.74,675.96,616.80,549.51,491.23,438.12,384.88,336.08,284.64,236.43,190.64,146.27,111.66,91.13,75.70,63.21,62.53,54.01,48.34
甘肃省,374.78,343.30,315.07,287.45,277.25,239.36,185.31,156.38,129.14,105.59,85.04,65.75,50.57,43.04,37.26,33.74,19.39,27.39,25.68
青海省,129.10,119.61,109.87,99.57,88.65,78.18,68.84,58.84,49.13,39.85,30.99,24.35,20.25,15.60,13.34,12.18,10.45,10.47,8.63
宁夏回族自治区,170.95,157.91,144.78,130.94,115.34,100.94,91.05,79.23,66.35,53.35,41.52,31.54,24.35,20.09,16.86,15.63,12.40,12.39,9.59
新疆维吾尔自治区,469.43,436.13,396.70,363.15,327.06,294.47,272.21,236.96,203.82,161.66,127.14,101.53,83.86,72.10,62.63,56.42,50.07,46.76,45.15
数据来源：国家统计局
