数据库：分省年度数据
指标：锌矿储量(万吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,,,,,
天津市,,,,,,,,,,
河北省,,,,,,79.66,71.10,72.92,76.36,78.19
山西省,,,,,,0.55,0.60,0.17,0.17,0.34
内蒙古自治区,,,,,,1444.45,1248.50,1178.88,962.32,735.15
辽宁省,,,,,,45.88,46.70,46.74,44.83,44.31
吉林省,,,,,,18.29,18.60,18.92,19.12,18.02
黑龙江省,,,,,,26.53,26.50,26.61,24.24,32.77
上海市,,,,,,,,,,
江苏省,,,,,,38.10,39.10,40.51,42.44,18.21
浙江省,,,,,,61.16,17.70,18.44,19.49,19.58
安徽省,,,,,,11.28,11.60,12.63,13.61,13.48
福建省,,,,,,59.57,60.40,69.96,80.41,77.53
江西省,,,,,,70.28,75.40,77.56,76.35,78.77
山东省,,,,,,0.75,0.80,0.75,0.34,0.34
河南省,,,,,,46.77,47.00,46.37,47.52,45.94
湖北省,,,,,,20.97,20.20,20.23,20.39,20.49
湖南省,,,,,,70.76,70.90,73.12,75.92,77.29
广东省,,,,,,186.26,200.00,210.48,228.58,244.04
广西壮族自治区,,,,,,188.26,105.50,147.08,106.13,101.07
海南省,,,,,,16.99,17.00,16.99,16.96,16.96
重庆市,,,,,,8.75,8.80,17.30,18.34,18.35
四川省,,,,,,206.45,230.20,231.42,231.83,218.59
贵州省,,,,,,114.96,108.00,85.24,71.21,68.96
云南省,,,,,,982.69,928.20,905.84,905.28,889.46
西藏自治区,,,,,,40.27,43.10,43.34,13.99,13.99
陕西省,,,,,,100.53,97.40,72.19,73.20,75.90
甘肃省,,,,,,304.81,316.70,312.75,313.66,323.95
青海省,,,,,,97.79,104.50,109.74,115.51,140.94
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,196.35,188.30,177.88,167.98,118.12
注：数据由国土资源部提供。
数据来源：国家统计局
