January,February,March,April,May,June,July,August,September,October,November,December
72,94,149,71,84,85,71,72,57,50,75,55
86,89,131,73,82,90,85,87,69,72,77,79
94,89,129,79,93,97,83,83,69,66,80,72
121,88,137,82,102,102,87,89,68,61,80,77
85,63,116,75,86,71,70,63,56,48,59,51
82,84,96,68,74,62,51,55,48,50,64,58
64,66,72,68,64,57,50,43,39,46,52,53
71,60,55,72,57,58,47,36,35,44,48,50
72,53,66,63,78,57,56,58,66,52,66,79
85,60,79,68,86,89,59,72,78,63,68,67
68,52,56,63,64,59,46,53,70,53,59,61
97,66,77,68,73,87,50,62,74,64,72,86
55,56,56,62,51,45,45,43,55,44,45,50
79,54,51,52,51,52,48,49,70,55,56,72
96,69,108,74,88,87,60,73,64,65,69,63
136,94,124,84,88,109,70,74,70,76,98,90
98,70,66,60,62,74,54,57,75,59,72,85
96,66,55,47,49,57,51,50,70,58,64,86
70,63,57,63,46,46,51,44,65,54,59,59
82,63,57,45,43,49,48,44,51,48,49,63
58,45,38,39,30,36,27,26,24,33,53,53
88,73,53,46,56,57,63,59,56,45,68,82
87,73,66,52,64,60,60,56,50,40,61,73
59,52,54,39,45,45,42,43,42,38,43,56
50,52,76,72,53,37,35,34,35,32,35,42
43,43,55,64,64,54,53,42,43,45,44,43
108,87,122,66,82,80,74,67,52,47,80,83
78,61,148,74,74,68,75,70,58,54,65,62
56,52,107,58,62,61,75,65,57,49,55,50
100,74,166,91,96,91,88,76,63,55,74,62
117,120,122,84,98,67,74,75,77,90,128,109
