January,February,March,April,May,June,July,August,September,October,November,December
146,100,94,87,134,125,118,85,98,84,75,81
142,118,100,98,139,115,104,90,102,90,87,108
168,128,93,93,135,127,111,91,101,90,93,113
160,122,91,87,122,120,113,94,91,80,100,117
75,69,63,73,108,82,83,67,66,61,62,62
106,87,88,79,96,93,90,60,68,69,63,86
104,74,77,76,92,72,75,46,50,76,70,76
95,59,58,65,71,49,53,41,41,78,77,67
73,77,71,91,88,83,117,97,74,58,78,97
92,94,79,94,105,94,81,75,71,62,82,111
69,72,66,77,79,59,66,61,66,56,66,87
118,110,90,89,108,94,69,64,69,72,95,125
57,56,61,69,64,42,52,58,65,58,53,58
106,87,67,75,87,50,54,51,68,64,84,95
123,99,84,89,117,105,86,77,92,73,80,100
129,112,86,80,81,107,91,90,82,74,72,117
127,96,84,76,91,74,64,61,64,55,94,120
121,82,66,67,79,52,55,53,73,61,92,108
71,64,63,66,73,41,49,56,70,69,65,75
92,75,56,60,61,42,44,43,54,62,68,86
48,46,45,46,40,31,26,28,28,54,50,50
117,87,69,65,77,76,93,85,56,52,80,109
117,87,68,69,79,64,78,64,51,47,72,106
66,57,53,57,57,42,44,43,45,44,63,74
48,58,67,65,63,44,40,37,36,38,49,57
52,55,61,73,74,69,52,48,49,49,51,60
148,121,82,83,102,96,95,79,67,62,100,130
108,92,78,79,104,86,78,64,61,57,76,127
83,81,72,79,76,73,77,57,53,54,62,85
112,93,73,89,124,97,92,77,73,73,85,106
144,147,120,96,100,83,85,79,86,102,90,114
