January,February,March,April,May,June,July,August,September,October,November,December
126,127,127,107,105,111,122,104,83,106,153,187
133,116,117,92,88,99,78,78,68,86,119,162
150,132,124,104,99,99,101,93,78,95,123,180
118,86,82,74,88,88,90,68,63,74,97,137
80,85,80,77,78,77,80,68,61,67,82,93
100,107,90,87,86,80,71,72,68,77,128,116
109,100,77,81,79,71,69,56,56,89,128,122
88,80,62,65,50,55,59,48,45,61,102,80
111,90,81,88,77,80,84,86,79,82,87,117
126,100,86,90,87,85,76,80,78,89,80,124
111,82,69,80,83,68,64,74,83,79,67,97
105,89,69,70,84,67,57,64,66,91,77,116
67,58,50,59,53,45,42,43,51,53,47,49
88,74,52,65,69,50,53,61,64,73,55,78
121,109,102,92,87,96,85,85,83,104,105,156
160,139,119,104,112,101,90,82,86,104,106,176
160,134,96,80,94,69,67,75,86,97,70,119
125,103,73,70,78,54,60,67,76,86,57,90
77,74,52,62,43,38,50,62,67,71,59,54
98,97,60,69,53,42,51,58,52,70,51,53
59,54,36,42,32,26,34,34,36,60,38,44
160,109,73,74,67,57,70,70,59,71,66,90
122,96,76,74,75,60,73,65,52,72,61,86
76,63,57,61,52,40,55,49,47,58,47,57
60,60,70,58,62,41,46,37,36,45,45,50
64,54,61,73,66,61,68,55,53,67,80,88
123,98,86,74,78,69,78,72,69,81,77,141
110,99,100,93,87,76,71,72,60,64,68,80
81,82,102,88,91,81,67,72,61,68,77,78
105,99,95,88,82,80,88,81,64,79,94,106
111,115,127,110,89,82,94,96,70,98,89,117
