January,February,March,April,May,June,July,August,September,October,November,December
64,80,115,98,91,111,89,83,60,74,108,71
82,88,108,88,80,121,89,97,68,80,112,86
108,105,103,86,85,118,86,82,67,80,109,96
113,96,90,71,86,106,86,84,61,74,87,93
53,53,52,50,65,72,70,60,50,55,57,55
75,84,79,69,73,83,54,58,53,59,77,68
73,72,73,66,63,70,48,40,39,45,54,63
70,67,63,66,57,50,44,33,39,45,50,60
88,70,65,78,80,80,53,52,71,67,72,66
113,85,79,85,79,96,72,67,72,75,80,79
78,70,59,72,64,62,51,55,63,67,57,65
123,90,74,74,63,90,59,64,67,77,80,91
49,57,57,66,60,52,44,47,50,64,42,43
81,77,59,66,56,56,48,58,62,73,56,61
104,83,82,85,84,101,66,73,74,73,89,88
142,106,93,54,76,111,76,89,72,87,92,123
111,91,68,60,59,74,58,68,64,72,73,96
90,91,60,57,52,57,48,58,59,69,61,85
68,61,63,61,54,52,43,53,57,74,59,51
78,79,62,57,43,44,38,45,48,60,57,49
37,46,38,34,28,31,25,30,37,62,43,38
79,78,59,62,67,69,70,93,54,61,67,73
83,78,66,69,64,57,53,66,45,52,61,69
50,63,54,55,49,43,38,46,37,42,44,45
43,53,63,63,49,36,32,39,32,36,45,42
44,44,49,59,64,60,40,36,42,47,45,42
122,88,82,62,69,81,63,78,55,68,74,90
68,60,41,46,50,67,58,55,51,54,54,64
60,55,47,49,59,60,58,49,48,47,49,60
65,57,50,51,38,79,61,63,51,56,54,69
115,101,42,49,45,56,53,47,48,59,66,86
