January,February,March,April,May,June,July,August,September,October,November,December
81,80,85,84,93,121,108,72,97,68,76,73
114,110,85,90,103,127,121,79,103,88,86,95
129,123,84,81,95,121,107,73,94,77,86,97
143,117,81,83,96,116,106,82,82,73,89,93
63,65,64,78,85,74,76,58,60,58,60,63
96,85,87,73,78,73,76,50,67,69,56,78
79,88,75,73,70,62,64,39,48,54,47,74
66,88,65,61,53,43,43,31,40,46,39,75
81,65,80,71,86,72,69,70,63,67,65,81
99,87,82,72,89,95,81,80,75,74,70,82
77,55,61,60,74,60,49,62,76,68,62,68
119,98,82,70,81,89,74,77,88,80,82,91
51,44,55,54,56,46,42,46,64,67,57,52
78,48,58,54,65,56,49,72,91,78,71,71
118,112,87,75,90,95,86,70,90,81,68,88
163,156,87,83,96,115,100,86,96,78,105,124
129,94,68,65,78,81,69,83,89,63,75,95
115,68,59,54,63,55,52,74,92,64,74,89
64,44,53,48,50,45,44,60,87,84,83,67
63,47,51,48,48,42,40,51,72,57,69,67
48,30,34,32,42,32,33,28,58,52,70,54
100,66,68,73,60,61,71,101,66,49,56,88
91,69,63,68,64,59,52,71,49,43,54,80
51,41,52,55,46,42,37,55,52,40,43,55
44,49,63,75,71,44,33,49,40,37,40,48
43,43,47,59,67,60,48,45,41,43,43,42
142,120,77,76,96,78,78,72,62,57,82,104
73,73,74,73,97,70,70,66,58,53,60,66
62,68,64,70,78,65,72,72,59,51,56,57
79,80,76,94,110,74,81,75,65,62,67,68
134,131,123,96,99,71,86,78,72,86,100,112
