January,February,March,April,May,June,July,August,September,October,November,December
86,89,63,75,85,116,99,80,56,72,66,56
138,87,70,80,84,116,104,87,67,86,79,86
134,86,69,78,86,115,96,79,71,79,81,87
144,87,71,77,88,111,95,73,73,76,84,82
99,64,58,65,71,75,75,57,47,56,56,53
114,68,58,77,62,75,79,58,49,64,65,71
110,55,57,87,59,64,60,43,39,52,55,54
104,56,53,72,54,40,52,34,33,43,47,56
81,55,57,76,84,68,66,59,72,58,58,81
92,58,61,77,90,75,65,74,82,63,62,93
55,44,49,74,73,51,53,53,71,63,56,70
103,63,66,75,82,66,56,62,79,70,71,104
49,48,49,65,55,43,48,42,58,58,50,44
58,48,48,76,66,41,50,54,57,64,60,79
109,62,65,73,76,90,80,65,77,70,73,103
158,87,80,82,93,95,82,68,86,83,97,122
86,63,60,72,73,56,52,61,68,65,69,103
71,55,52,68,62,39,45,52,50,59,64,102
54,46,48,63,50,36,43,48,55,63,65,57
54,54,43,53,54,38,40,42,43,48,62,63
42,40,33,44,37,30,28,25,24,48,56,52
70,69,60,64,81,68,59,80,54,52,65,81
73,68,60,63,77,61,49,55,43,41,61,73
40,49,51,53,55,37,36,39,35,40,45,49
43,53,69,66,56,36,29,31,30,33,42,43
44,44,48,52,63,54,46,48,47,44,44,42
126,85,75,70,76,73,71,56,62,61,83,96
72,70,70,78,78,73,70,56,54,54,66,62
61,58,62,64,64,64,66,60,54,52,60,54
105,77,78,74,91,83,74,62,55,62,81,80
121,118,130,119,87,78,72,67,79,82,72,111
